video_uid,frame,x0,y0,x1,y1,action,bbox_id_new,frame_start,frame_end,time_current,time_start,time_end,duration
AJHHJBWQ,998,0.573828125,0.1125,0.600546875,0.2375,holding weapon,GUfCNpzSbn0,998,1605,39.92,39.92,64.2,24.28
AJHHJBWQ,999,0.5738875,0.1125,0.60060625,0.2375,holding weapon,GUfCNpzSbn0,998,1605,39.96,39.92,64.2,24.28
AJHHJBWQ,1000,0.57394375,0.1125,0.6006625,0.2375,holding weapon,GUfCNpzSbn0,998,1605,40.0,39.92,64.2,24.28
AJHHJBWQ,1001,0.5740031250000001,0.1125,0.600721875,0.2375,holding weapon,GUfCNpzSbn0,998,1605,40.04,39.92,64.2,24.28
AJHHJBWQ,1002,0.5740624999999999,0.1125,0.60078125,0.2375,holding weapon,GUfCNpzSbn0,998,1605,40.08,39.92,64.2,24.28
AJHHJBWQ,1003,0.574121875,0.1125,0.600840625,0.2375,holding weapon,GUfCNpzSbn0,998,1605,40.12,39.92,64.2,24.28
AJHHJBWQ,1004,0.57418125,0.1125,0.6009,0.2375,holding weapon,GUfCNpzSbn0,998,1605,40.16,39.92,64.2,24.28
AJHHJBWQ,1005,0.5742375,0.1125,0.6009562500000001,0.2375,holding weapon,GUfCNpzSbn0,998,1605,40.2,39.92,64.2,24.28
AJHHJBWQ,1006,0.574296875,0.1125,0.6010156249999999,0.2375,holding weapon,GUfCNpzSbn0,998,1605,40.24,39.92,64.2,24.28
AJHHJBWQ,1007,0.57435625,0.1125,0.601075,0.2375,holding weapon,GUfCNpzSbn0,998,1605,40.28,39.92,64.2,24.28
AJHHJBWQ,1008,0.5744125,0.1125,0.60113125,0.2375,holding weapon,GUfCNpzSbn0,998,1605,40.32,39.92,64.2,24.28
AJHHJBWQ,1009,0.574471875,0.1125,0.601190625,0.2375,holding weapon,GUfCNpzSbn0,998,1605,40.36,39.92,64.2,24.28
AJHHJBWQ,1010,0.5745312499999999,0.1125,0.6012500000000001,0.2375,holding weapon,GUfCNpzSbn0,998,1605,40.4,39.92,64.2,24.28
AJHHJBWQ,1011,0.574590625,0.1125,0.601309375,0.2375,holding weapon,GUfCNpzSbn0,998,1605,40.44,39.92,64.2,24.28
AJHHJBWQ,1012,0.57465,0.1125,0.60136875,0.2375,holding weapon,GUfCNpzSbn0,998,1605,40.48,39.92,64.2,24.28
AJHHJBWQ,1013,0.57470625,0.1125,0.601425,0.2375,holding weapon,GUfCNpzSbn0,998,1605,40.52,39.92,64.2,24.28
AJHHJBWQ,1014,0.5747656250000001,0.1125,0.601484375,0.2375,holding weapon,GUfCNpzSbn0,998,1605,40.56,39.92,64.2,24.28
AJHHJBWQ,1015,0.5748249999999999,0.1125,0.60154375,0.2375,holding weapon,GUfCNpzSbn0,998,1605,40.6,39.92,64.2,24.28
AJHHJBWQ,1016,0.57488125,0.1125,0.6016,0.2375,holding weapon,GUfCNpzSbn0,998,1605,40.64,39.92,64.2,24.28
AJHHJBWQ,1017,0.574940625,0.1125,0.601659375,0.2375,holding weapon,GUfCNpzSbn0,998,1605,40.68,39.92,64.2,24.28
AJHHJBWQ,1018,0.575,0.1125,0.6017187500000001,0.2375,holding weapon,GUfCNpzSbn0,998,1605,40.72,39.92,64.2,24.28
AJHHJBWQ,1019,0.575059375,0.1125,0.6017781249999999,0.2375,holding weapon,GUfCNpzSbn0,998,1605,40.76,39.92,64.2,24.28
AJHHJBWQ,1020,0.57511875,0.1125,0.6018375,0.2375,holding weapon,GUfCNpzSbn0,998,1605,40.8,39.92,64.2,24.28
AJHHJBWQ,1021,0.575175,0.1125,0.60189375,0.2375,holding weapon,GUfCNpzSbn0,998,1605,40.84,39.92,64.2,24.28
AJHHJBWQ,1022,0.575234375,0.1125,0.601953125,0.2375,holding weapon,GUfCNpzSbn0,998,1605,40.88,39.92,64.2,24.28
AJHHJBWQ,1023,0.57480625,0.11243333333333333,0.601525,0.23743333333333333,holding weapon,GUfCNpzSbn0,998,1605,40.92,39.92,64.2,24.28
AJHHJBWQ,1024,0.5743750000000001,0.11236111111111112,0.60109375,0.2373611111111111,holding weapon,GUfCNpzSbn0,998,1605,40.96,39.92,64.2,24.28
AJHHJBWQ,1025,0.57394375,0.11228888888888888,0.6006625,0.2372888888888889,holding weapon,GUfCNpzSbn0,998,1605,41.0,39.92,64.2,24.28
AJHHJBWQ,1026,0.573515625,0.11222222222222222,0.600234375,0.23722222222222225,holding weapon,GUfCNpzSbn0,998,1605,41.04,39.92,64.2,24.28
AJHHJBWQ,1027,0.5730875,0.11215555555555555,0.59980625,0.23715555555555556,holding weapon,GUfCNpzSbn0,998,1605,41.08,39.92,64.2,24.28
AJHHJBWQ,1028,0.57265625,0.11208333333333334,0.599375,0.2370833333333333,holding weapon,GUfCNpzSbn0,998,1605,41.12,39.92,64.2,24.28
AJHHJBWQ,1029,0.572225,0.1120111111111111,0.59894375,0.23701111111111112,holding weapon,GUfCNpzSbn0,998,1605,41.16,39.92,64.2,24.28
AJHHJBWQ,1030,0.571796875,0.11194444444444443,0.598515625,0.23694444444444443,holding weapon,GUfCNpzSbn0,998,1605,41.2,39.92,64.2,24.28
AJHHJBWQ,1031,0.571365625,0.11187777777777778,0.5980875,0.23687777777777777,holding weapon,GUfCNpzSbn0,998,1605,41.24,39.92,64.2,24.28
AJHHJBWQ,1032,0.5709375,0.11180555555555556,0.59765625,0.23680555555555555,holding weapon,GUfCNpzSbn0,998,1605,41.28,39.92,64.2,24.28
AJHHJBWQ,1033,0.57050625,0.11173333333333332,0.597225,0.23673333333333335,holding weapon,GUfCNpzSbn0,998,1605,41.32,39.92,64.2,24.28
AJHHJBWQ,1034,0.570078125,0.11166666666666668,0.596796875,0.23666666666666666,holding weapon,GUfCNpzSbn0,998,1605,41.36,39.92,64.2,24.28
AJHHJBWQ,1035,0.56965,0.1116,0.59636875,0.2366,holding weapon,GUfCNpzSbn0,998,1605,41.4,39.92,64.2,24.28
AJHHJBWQ,1036,0.56921875,0.11152777777777777,0.5959375,0.23652777777777778,holding weapon,GUfCNpzSbn0,998,1605,41.44,39.92,64.2,24.28
AJHHJBWQ,1037,0.5687875,0.11145555555555556,0.59550625,0.23645555555555553,holding weapon,GUfCNpzSbn0,998,1605,41.48,39.92,64.2,24.28
AJHHJBWQ,1038,0.568359375,0.1113888888888889,0.595078125,0.23638888888888887,holding weapon,GUfCNpzSbn0,998,1605,41.52,39.92,64.2,24.28
AJHHJBWQ,1039,0.567928125,0.11132222222222223,0.59465,0.2363222222222222,holding weapon,GUfCNpzSbn0,998,1605,41.56,39.92,64.2,24.28
AJHHJBWQ,1040,0.5675,0.11124999999999999,0.59421875,0.23625,holding weapon,GUfCNpzSbn0,998,1605,41.6,39.92,64.2,24.28
AJHHJBWQ,1041,0.56706875,0.11117777777777778,0.593790625,0.2361777777777778,holding weapon,GUfCNpzSbn0,998,1605,41.64,39.92,64.2,24.28
AJHHJBWQ,1042,0.566640625,0.1111111111111111,0.593359375,0.2361111111111111,holding weapon,GUfCNpzSbn0,998,1605,41.68,39.92,64.2,24.28
AJHHJBWQ,1043,0.5662125,0.11104444444444445,0.59293125,0.23604444444444445,holding weapon,GUfCNpzSbn0,998,1605,41.72,39.92,64.2,24.28
AJHHJBWQ,1044,0.56578125,0.11097222222222224,0.5925,0.23597222222222222,holding weapon,GUfCNpzSbn0,998,1605,41.76,39.92,64.2,24.28
AJHHJBWQ,1045,0.56535,0.11090555555555556,0.5920687499999999,0.23590000000000003,holding weapon,GUfCNpzSbn0,998,1605,41.8,39.92,64.2,24.28
AJHHJBWQ,1046,0.564921875,0.11083333333333333,0.5916406249999999,0.23583333333333334,holding weapon,GUfCNpzSbn0,998,1605,41.84,39.92,64.2,24.28
AJHHJBWQ,1047,0.56449375,0.11076666666666667,0.5912124999999999,0.23576666666666668,holding weapon,GUfCNpzSbn0,998,1605,41.88,39.92,64.2,24.28
AJHHJBWQ,1048,0.5640625,0.11069444444444444,0.59078125,0.23569444444444443,holding weapon,GUfCNpzSbn0,998,1605,41.92,39.92,64.2,24.28
AJHHJBWQ,1049,0.56363125,0.11062222222222222,0.590353125,0.2356222222222222,holding weapon,GUfCNpzSbn0,998,1605,41.96,39.92,64.2,24.28
AJHHJBWQ,1050,0.563203125,0.11055555555555555,0.589921875,0.23555555555555555,holding weapon,GUfCNpzSbn0,998,1605,42.0,39.92,64.2,24.28
AJHHJBWQ,1051,0.562775,0.1104888888888889,0.58949375,0.23548333333333332,holding weapon,GUfCNpzSbn0,998,1605,42.04,39.92,64.2,24.28
AJHHJBWQ,1052,0.5623437499999999,0.11041666666666666,0.5890625,0.23541666666666666,holding weapon,GUfCNpzSbn0,998,1605,42.08,39.92,64.2,24.28
AJHHJBWQ,1053,0.5619125,0.11034444444444444,0.5886312499999999,0.23534444444444447,holding weapon,GUfCNpzSbn0,998,1605,42.12,39.92,64.2,24.28
AJHHJBWQ,1054,0.561484375,0.11027777777777778,0.5882031249999999,0.23527777777777778,holding weapon,GUfCNpzSbn0,998,1605,42.16,39.92,64.2,24.28
AJHHJBWQ,1055,0.56105625,0.11021111111111112,0.5877749999999999,0.23521111111111112,holding weapon,GUfCNpzSbn0,998,1605,42.2,39.92,64.2,24.28
AJHHJBWQ,1056,0.560625,0.11013888888888888,0.5873437499999999,0.2351388888888889,holding weapon,GUfCNpzSbn0,998,1605,42.24,39.92,64.2,24.28
AJHHJBWQ,1057,0.56019375,0.11006666666666667,0.5869125000000001,0.23506666666666665,holding weapon,GUfCNpzSbn0,998,1605,42.28,39.92,64.2,24.28
AJHHJBWQ,1058,0.559765625,0.11,0.5864843750000001,0.235,holding weapon,GUfCNpzSbn0,998,1605,42.32,39.92,64.2,24.28
AJHHJBWQ,1059,0.559765625,0.11,0.5864843750000001,0.235,holding weapon,GUfCNpzSbn0,998,1605,42.36,39.92,64.2,24.28
AJHHJBWQ,1060,0.559765625,0.11,0.5864843750000001,0.235,holding weapon,GUfCNpzSbn0,998,1605,42.4,39.92,64.2,24.28
AJHHJBWQ,1061,0.559765625,0.11,0.5864843750000001,0.235,holding weapon,GUfCNpzSbn0,998,1605,42.44,39.92,64.2,24.28
AJHHJBWQ,1062,0.559765625,0.11,0.5864843750000001,0.235,holding weapon,GUfCNpzSbn0,998,1605,42.48,39.92,64.2,24.28
AJHHJBWQ,1063,0.559765625,0.11,0.5864843750000001,0.235,holding weapon,GUfCNpzSbn0,998,1605,42.52,39.92,64.2,24.28
AJHHJBWQ,1064,0.559765625,0.11,0.5864843750000001,0.235,holding weapon,GUfCNpzSbn0,998,1605,42.56,39.92,64.2,24.28
AJHHJBWQ,1065,0.559765625,0.11,0.5864843750000001,0.235,holding weapon,GUfCNpzSbn0,998,1605,42.6,39.92,64.2,24.28
AJHHJBWQ,1066,0.559765625,0.11,0.5864843750000001,0.235,holding weapon,GUfCNpzSbn0,998,1605,42.64,39.92,64.2,24.28
AJHHJBWQ,1067,0.559765625,0.11,0.5864843750000001,0.235,holding weapon,GUfCNpzSbn0,998,1605,42.68,39.92,64.2,24.28
AJHHJBWQ,1068,0.559765625,0.11,0.5864843750000001,0.235,holding weapon,GUfCNpzSbn0,998,1605,42.72,39.92,64.2,24.28
AJHHJBWQ,1069,0.559765625,0.11,0.5864843750000001,0.235,holding weapon,GUfCNpzSbn0,998,1605,42.76,39.92,64.2,24.28
AJHHJBWQ,1070,0.559765625,0.11,0.5864843750000001,0.235,holding weapon,GUfCNpzSbn0,998,1605,42.8,39.92,64.2,24.28
AJHHJBWQ,1071,0.559765625,0.11,0.5864843750000001,0.235,holding weapon,GUfCNpzSbn0,998,1605,42.84,39.92,64.2,24.28
AJHHJBWQ,1072,0.559765625,0.11,0.5864843750000001,0.235,holding weapon,GUfCNpzSbn0,998,1605,42.88,39.92,64.2,24.28
AJHHJBWQ,1073,0.559765625,0.11,0.5864843750000001,0.235,holding weapon,GUfCNpzSbn0,998,1605,42.92,39.92,64.2,24.28
AJHHJBWQ,1074,0.559765625,0.11,0.5864843750000001,0.235,holding weapon,GUfCNpzSbn0,998,1605,42.96,39.92,64.2,24.28
AJHHJBWQ,1075,0.559765625,0.11,0.5864843750000001,0.235,holding weapon,GUfCNpzSbn0,998,1605,43.0,39.92,64.2,24.28
AJHHJBWQ,1076,0.559765625,0.11,0.5864843750000001,0.235,holding weapon,GUfCNpzSbn0,998,1605,43.04,39.92,64.2,24.28
AJHHJBWQ,1077,0.559765625,0.11,0.5864843750000001,0.235,holding weapon,GUfCNpzSbn0,998,1605,43.08,39.92,64.2,24.28
AJHHJBWQ,1078,0.559765625,0.11,0.5864843750000001,0.235,holding weapon,GUfCNpzSbn0,998,1605,43.12,39.92,64.2,24.28
AJHHJBWQ,1079,0.559765625,0.11,0.5864843750000001,0.235,holding weapon,GUfCNpzSbn0,998,1605,43.16,39.92,64.2,24.28
AJHHJBWQ,1080,0.559765625,0.11,0.5864843750000001,0.235,holding weapon,GUfCNpzSbn0,998,1605,43.2,39.92,64.2,24.28
AJHHJBWQ,1081,0.559765625,0.11,0.5864843750000001,0.235,holding weapon,GUfCNpzSbn0,998,1605,43.24,39.92,64.2,24.28
AJHHJBWQ,1082,0.559765625,0.11,0.5864843750000001,0.235,holding weapon,GUfCNpzSbn0,998,1605,43.28,39.92,64.2,24.28
AJHHJBWQ,1083,0.559765625,0.11,0.5864843750000001,0.235,holding weapon,GUfCNpzSbn0,998,1605,43.32,39.92,64.2,24.28
AJHHJBWQ,1084,0.559765625,0.11,0.5864843750000001,0.235,holding weapon,GUfCNpzSbn0,998,1605,43.36,39.92,64.2,24.28
AJHHJBWQ,1085,0.559765625,0.11,0.5864843750000001,0.235,holding weapon,GUfCNpzSbn0,998,1605,43.4,39.92,64.2,24.28
AJHHJBWQ,1086,0.559765625,0.11,0.5864843750000001,0.235,holding weapon,GUfCNpzSbn0,998,1605,43.44,39.92,64.2,24.28
AJHHJBWQ,1087,0.559615625,0.11062222222222222,0.5863343750000001,0.2356222222222222,holding weapon,GUfCNpzSbn0,998,1605,43.48,39.92,64.2,24.28
AJHHJBWQ,1088,0.559465625,0.11124999999999999,0.586184375,0.23625,holding weapon,GUfCNpzSbn0,998,1605,43.52,39.92,64.2,24.28
AJHHJBWQ,1089,0.5593125,0.11187777777777778,0.58603125,0.23687222222222223,holding weapon,GUfCNpzSbn0,998,1605,43.56,39.92,64.2,24.28
AJHHJBWQ,1090,0.5591625,0.1125,0.58588125,0.2375,holding weapon,GUfCNpzSbn0,998,1605,43.6,39.92,64.2,24.28
AJHHJBWQ,1091,0.5590124999999999,0.11312222222222221,0.58573125,0.23812222222222224,holding weapon,GUfCNpzSbn0,998,1605,43.64,39.92,64.2,24.28
AJHHJBWQ,1092,0.5588625,0.11375,0.5855812499999999,0.23875000000000002,holding weapon,GUfCNpzSbn0,998,1605,43.68,39.92,64.2,24.28
AJHHJBWQ,1093,0.5587125000000001,0.11437777777777779,0.58543125,0.23937777777777777,holding weapon,GUfCNpzSbn0,998,1605,43.72,39.92,64.2,24.28
AJHHJBWQ,1094,0.558559375,0.11499999999999999,0.585278125,0.24000000000000002,holding weapon,GUfCNpzSbn0,998,1605,43.76,39.92,64.2,24.28
AJHHJBWQ,1095,0.558409375,0.11562222222222222,0.585128125,0.2406222222222222,holding weapon,GUfCNpzSbn0,998,1605,43.8,39.92,64.2,24.28
