video_uid,frame,x0,y0,x1,y1,action,bbox_id_new,frame_start,frame_end,time_current,time_start,time_end,duration
EBNLVURZ,1,0.47328125,0.1575,0.65046875,0.815,arguing,N-2oU9EWPn0,1,149,0.04,0.04,5.96,5.92
EBNLVURZ,2,0.471765625,0.16423333333333334,0.648953125,0.815961111111111,arguing,N-2oU9EWPn0,1,149,0.08,0.04,5.96,5.92
EBNLVURZ,3,0.470253125,0.17096111111111112,0.647440625,0.8169222222222222,arguing,N-2oU9EWPn0,1,149,0.12,0.04,5.96,5.92
EBNLVURZ,4,0.46873750000000003,0.17769444444444443,0.645925,0.8178833333333333,arguing,N-2oU9EWPn0,1,149,0.16,0.04,5.96,5.92
EBNLVURZ,5,0.467225,0.1844222222222222,0.6444124999999999,0.8188444444444444,arguing,N-2oU9EWPn0,1,149,0.2,0.04,5.96,5.92
EBNLVURZ,6,0.465709375,0.19115555555555555,0.642896875,0.8198055555555556,arguing,N-2oU9EWPn0,1,149,0.24,0.04,5.96,5.92
EBNLVURZ,7,0.46419375,0.19788333333333333,0.64138125,0.8207666666666666,arguing,N-2oU9EWPn0,1,149,0.28,0.04,5.96,5.92
EBNLVURZ,8,0.46268125,0.2046166666666667,0.63986875,0.8217333333333333,arguing,N-2oU9EWPn0,1,149,0.32,0.04,5.96,5.92
EBNLVURZ,9,0.461165625,0.21134444444444445,0.638353125,0.8226944444444445,arguing,N-2oU9EWPn0,1,149,0.36,0.04,5.96,5.92
EBNLVURZ,10,0.45965,0.21807777777777776,0.6368375000000001,0.8236555555555556,arguing,N-2oU9EWPn0,1,149,0.4,0.04,5.96,5.92
EBNLVURZ,11,0.45813750000000003,0.22480555555555556,0.635325,0.8246166666666668,arguing,N-2oU9EWPn0,1,149,0.44,0.04,5.96,5.92
EBNLVURZ,12,0.456621875,0.23153888888888888,0.633809375,0.8255777777777779,arguing,N-2oU9EWPn0,1,149,0.48,0.04,5.96,5.92
EBNLVURZ,13,0.455109375,0.23826666666666665,0.632296875,0.8265388888888888,arguing,N-2oU9EWPn0,1,149,0.52,0.04,5.96,5.92
EBNLVURZ,14,0.45359375,0.245,0.63078125,0.8274999999999999,arguing,N-2oU9EWPn0,1,149,0.56,0.04,5.96,5.92
EBNLVURZ,15,0.45301562500000003,0.245,0.630203125,0.8274999999999999,arguing,N-2oU9EWPn0,1,149,0.6,0.04,5.96,5.92
EBNLVURZ,16,0.452434375,0.245,0.629621875,0.8274999999999999,arguing,N-2oU9EWPn0,1,149,0.64,0.04,5.96,5.92
EBNLVURZ,17,0.45185624999999996,0.245,0.62904375,0.8274999999999999,arguing,N-2oU9EWPn0,1,149,0.68,0.04,5.96,5.92
EBNLVURZ,18,0.451278125,0.245,0.628465625,0.8274999999999999,arguing,N-2oU9EWPn0,1,149,0.72,0.04,5.96,5.92
EBNLVURZ,19,0.4507,0.245,0.6278875,0.8274999999999999,arguing,N-2oU9EWPn0,1,149,0.76,0.04,5.96,5.92
EBNLVURZ,20,0.45011875,0.245,0.62730625,0.8274999999999999,arguing,N-2oU9EWPn0,1,149,0.8,0.04,5.96,5.92
EBNLVURZ,21,0.449540625,0.245,0.626728125,0.8274999999999999,arguing,N-2oU9EWPn0,1,149,0.84,0.04,5.96,5.92
EBNLVURZ,22,0.44896250000000004,0.245,0.62615,0.8274999999999999,arguing,N-2oU9EWPn0,1,149,0.88,0.04,5.96,5.92
EBNLVURZ,23,0.44838125,0.245,0.62556875,0.8274999999999999,arguing,N-2oU9EWPn0,1,149,0.92,0.04,5.96,5.92
EBNLVURZ,24,0.44780312499999997,0.245,0.624990625,0.8274999999999999,arguing,N-2oU9EWPn0,1,149,0.96,0.04,5.96,5.92
EBNLVURZ,25,0.447225,0.245,0.6244125,0.8274999999999999,arguing,N-2oU9EWPn0,1,149,1.0,0.04,5.96,5.92
EBNLVURZ,26,0.44664374999999995,0.245,0.6238312500000001,0.8274999999999999,arguing,N-2oU9EWPn0,1,149,1.04,0.04,5.96,5.92
EBNLVURZ,27,0.446065625,0.245,0.623253125,0.8274999999999999,arguing,N-2oU9EWPn0,1,149,1.08,0.04,5.96,5.92
EBNLVURZ,28,0.44548750000000004,0.245,0.622675,0.8274999999999999,arguing,N-2oU9EWPn0,1,149,1.12,0.04,5.96,5.92
EBNLVURZ,29,0.44490937500000005,0.245,0.622096875,0.8274999999999999,arguing,N-2oU9EWPn0,1,149,1.16,0.04,5.96,5.92
EBNLVURZ,30,0.444328125,0.245,0.621515625,0.8274999999999999,arguing,N-2oU9EWPn0,1,149,1.2,0.04,5.96,5.92
EBNLVURZ,31,0.44375,0.245,0.6209374999999999,0.8274999999999999,arguing,N-2oU9EWPn0,1,149,1.24,0.04,5.96,5.92
EBNLVURZ,32,0.44239375000000003,0.24437777777777778,0.61958125,0.8268722222222221,arguing,N-2oU9EWPn0,1,149,1.28,0.04,5.96,5.92
EBNLVURZ,33,0.4410375,0.24375,0.618225,0.8262499999999999,arguing,N-2oU9EWPn0,1,149,1.32,0.04,5.96,5.92
EBNLVURZ,34,0.43968125,0.2431222222222222,0.61686875,0.8256222222222221,arguing,N-2oU9EWPn0,1,149,1.36,0.04,5.96,5.92
EBNLVURZ,35,0.438325,0.2425,0.6155125,0.825,arguing,N-2oU9EWPn0,1,149,1.4,0.04,5.96,5.92
EBNLVURZ,36,0.43696875,0.24187777777777775,0.61415625,0.8243777777777778,arguing,N-2oU9EWPn0,1,149,1.44,0.04,5.96,5.92
EBNLVURZ,37,0.43561249999999996,0.24125,0.6128,0.82375,arguing,N-2oU9EWPn0,1,149,1.48,0.04,5.96,5.92
EBNLVURZ,38,0.43425624999999995,0.2406222222222222,0.6114437500000001,0.8231222222222223,arguing,N-2oU9EWPn0,1,149,1.52,0.04,5.96,5.92
EBNLVURZ,39,0.432903125,0.24000000000000002,0.610090625,0.8225,arguing,N-2oU9EWPn0,1,149,1.56,0.04,5.96,5.92
EBNLVURZ,40,0.431546875,0.23937777777777777,0.6087343749999999,0.8218777777777777,arguing,N-2oU9EWPn0,1,149,1.6,0.04,5.96,5.92
EBNLVURZ,41,0.430190625,0.23875000000000002,0.607378125,0.8212499999999999,arguing,N-2oU9EWPn0,1,149,1.64,0.04,5.96,5.92
EBNLVURZ,42,0.428834375,0.23812777777777777,0.6060218749999999,0.8206222222222221,arguing,N-2oU9EWPn0,1,149,1.68,0.04,5.96,5.92
EBNLVURZ,43,0.42747812500000004,0.2375,0.604665625,0.82,arguing,N-2oU9EWPn0,1,149,1.72,0.04,5.96,5.92
EBNLVURZ,44,0.42612187500000004,0.23687777777777777,0.603309375,0.8193777777777778,arguing,N-2oU9EWPn0,1,149,1.76,0.04,5.96,5.92
EBNLVURZ,45,0.42476562500000004,0.23625,0.601953125,0.81875,arguing,N-2oU9EWPn0,1,149,1.8,0.04,5.96,5.92
EBNLVURZ,46,0.42340937500000003,0.2356222222222222,0.600596875,0.8181222222222222,arguing,N-2oU9EWPn0,1,149,1.84,0.04,5.96,5.92
EBNLVURZ,47,0.422053125,0.235,0.599240625,0.8175,arguing,N-2oU9EWPn0,1,149,1.88,0.04,5.96,5.92
EBNLVURZ,48,0.42069687499999997,0.2343777777777778,0.597884375,0.8168777777777778,arguing,N-2oU9EWPn0,1,149,1.92,0.04,5.96,5.92
EBNLVURZ,49,0.41934062499999997,0.23375,0.5965281250000001,0.81625,arguing,N-2oU9EWPn0,1,149,1.96,0.04,5.96,5.92
EBNLVURZ,50,0.41798437499999996,0.2331277777777778,0.595171875,0.8156222222222222,arguing,N-2oU9EWPn0,1,149,2.0,0.04,5.96,5.92
EBNLVURZ,51,0.416628125,0.2325,0.593815625,0.815,arguing,N-2oU9EWPn0,1,149,2.04,0.04,5.96,5.92
EBNLVURZ,52,0.415275,0.23187777777777777,0.5924625,0.8143777777777778,arguing,N-2oU9EWPn0,1,149,2.08,0.04,5.96,5.92
EBNLVURZ,53,0.41391875,0.23125,0.5911062499999999,0.81375,arguing,N-2oU9EWPn0,1,149,2.12,0.04,5.96,5.92
