video_uid,frame,x0,y0,x1,y1,action,bbox_id_new,frame_start,frame_end,time_current,time_start,time_end,duration
HUKJEMBZ,1,0.0021874999999999998,0.22999999999999998,0.22999999999999998,0.98,idle,CCbCfcBNNE0,1,135,0.04,0.04,5.4,5.36
HUKJEMBZ,2,0.002378125,0.23681666666666668,0.23140624999999998,0.980111111111111,idle,CCbCfcBNNE0,1,135,0.08,0.04,5.4,5.36
HUKJEMBZ,3,0.002571875,0.24363888888888888,0.2328125,0.9802277777777778,idle,CCbCfcBNNE0,1,135,0.12,0.04,5.4,5.36
HUKJEMBZ,4,0.0027625,0.25045555555555554,0.23421875,0.980338888888889,idle,CCbCfcBNNE0,1,135,0.16,0.04,5.4,5.36
HUKJEMBZ,5,0.002953125,0.25727222222222224,0.23562500000000003,0.9804555555555555,idle,CCbCfcBNNE0,1,135,0.2,0.04,5.4,5.36
HUKJEMBZ,6,0.0031468749999999995,0.2640888888888889,0.23703124999999997,0.9805666666666667,idle,CCbCfcBNNE0,1,135,0.24,0.04,5.4,5.36
HUKJEMBZ,7,0.0033375,0.2709111111111111,0.2384375,0.9806833333333334,idle,CCbCfcBNNE0,1,135,0.28,0.04,5.4,5.36
HUKJEMBZ,8,0.0035312499999999997,0.2777277777777778,0.23984375,0.9807944444444445,idle,CCbCfcBNNE0,1,135,0.32,0.04,5.4,5.36
HUKJEMBZ,9,0.0037218750000000004,0.2845444444444445,0.24125000000000002,0.9809111111111111,idle,CCbCfcBNNE0,1,135,0.36,0.04,5.4,5.36
HUKJEMBZ,10,0.0039125,0.2913611111111111,0.24265625000000002,0.9810222222222222,idle,CCbCfcBNNE0,1,135,0.4,0.04,5.4,5.36
HUKJEMBZ,11,0.0041062500000000005,0.29818333333333336,0.2440625,0.9811388888888888,idle,CCbCfcBNNE0,1,135,0.44,0.04,5.4,5.36
HUKJEMBZ,12,0.004296875,0.305,0.24546874999999999,0.98125,idle,CCbCfcBNNE0,1,135,0.48,0.04,5.4,5.36
HUKJEMBZ,13,0.0044875,0.3118166666666667,0.246875,0.9813611111111111,idle,CCbCfcBNNE0,1,135,0.52,0.04,5.4,5.36
HUKJEMBZ,14,0.00468125,0.31863888888888886,0.24828125,0.9814777777777778,idle,CCbCfcBNNE0,1,135,0.56,0.04,5.4,5.36
HUKJEMBZ,15,0.0048718749999999995,0.32545555555555555,0.2496875,0.981588888888889,idle,CCbCfcBNNE0,1,135,0.6,0.04,5.4,5.36
HUKJEMBZ,16,0.0050625,0.3322722222222222,0.25109375,0.9817055555555555,idle,CCbCfcBNNE0,1,135,0.64,0.04,5.4,5.36
HUKJEMBZ,17,0.00525625,0.3390888888888889,0.2525,0.9818166666666667,idle,CCbCfcBNNE0,1,135,0.68,0.04,5.4,5.36
HUKJEMBZ,18,0.005446875,0.3459111111111111,0.25390625,0.9819333333333333,idle,CCbCfcBNNE0,1,135,0.72,0.04,5.4,5.36
HUKJEMBZ,19,0.005640625,0.35272777777777775,0.2553125,0.9820444444444445,idle,CCbCfcBNNE0,1,135,0.76,0.04,5.4,5.36
HUKJEMBZ,20,0.0058312500000000005,0.35954444444444444,0.25671875,0.982161111111111,idle,CCbCfcBNNE0,1,135,0.8,0.04,5.4,5.36
HUKJEMBZ,21,0.006021875,0.3663611111111111,0.258125,0.9822722222222222,idle,CCbCfcBNNE0,1,135,0.84,0.04,5.4,5.36
HUKJEMBZ,22,0.006215625000000001,0.37318333333333337,0.25953125,0.982388888888889,idle,CCbCfcBNNE0,1,135,0.88,0.04,5.4,5.36
HUKJEMBZ,23,0.00640625,0.38,0.2609375,0.9824999999999999,idle,CCbCfcBNNE0,1,135,0.92,0.04,5.4,5.36
HUKJEMBZ,24,0.00640625,0.3786888888888889,0.2609375,0.9824999999999999,idle,CCbCfcBNNE0,1,135,0.96,0.04,5.4,5.36
HUKJEMBZ,25,0.00640625,0.37738333333333335,0.2609375,0.9824999999999999,idle,CCbCfcBNNE0,1,135,1.0,0.04,5.4,5.36
HUKJEMBZ,26,0.00640625,0.3760722222222222,0.2609375,0.9824999999999999,idle,CCbCfcBNNE0,1,135,1.04,0.04,5.4,5.36
HUKJEMBZ,27,0.00640625,0.3747611111111111,0.2609375,0.9824999999999999,idle,CCbCfcBNNE0,1,135,1.08,0.04,5.4,5.36
HUKJEMBZ,28,0.00640625,0.37345,0.2609375,0.9824999999999999,idle,CCbCfcBNNE0,1,135,1.12,0.04,5.4,5.36
HUKJEMBZ,29,0.00640625,0.37214444444444444,0.2609375,0.9824999999999999,idle,CCbCfcBNNE0,1,135,1.16,0.04,5.4,5.36
HUKJEMBZ,30,0.00640625,0.37083333333333335,0.2609375,0.9824999999999999,idle,CCbCfcBNNE0,1,135,1.2,0.04,5.4,5.36
HUKJEMBZ,31,0.00640625,0.3695222222222222,0.2609375,0.9824999999999999,idle,CCbCfcBNNE0,1,135,1.24,0.04,5.4,5.36
HUKJEMBZ,32,0.00640625,0.36821666666666664,0.2609375,0.9824999999999999,idle,CCbCfcBNNE0,1,135,1.28,0.04,5.4,5.36
HUKJEMBZ,33,0.00640625,0.3669055555555556,0.2609375,0.9824999999999999,idle,CCbCfcBNNE0,1,135,1.32,0.04,5.4,5.36
HUKJEMBZ,34,0.00640625,0.36559444444444444,0.2609375,0.9824999999999999,idle,CCbCfcBNNE0,1,135,1.36,0.04,5.4,5.36
HUKJEMBZ,35,0.00640625,0.36428333333333335,0.2609375,0.9824999999999999,idle,CCbCfcBNNE0,1,135,1.4,0.04,5.4,5.36
HUKJEMBZ,36,0.00640625,0.3629777777777778,0.2609375,0.9824999999999999,idle,CCbCfcBNNE0,1,135,1.44,0.04,5.4,5.36
HUKJEMBZ,37,0.00640625,0.36166666666666664,0.2609375,0.9824999999999999,idle,CCbCfcBNNE0,1,135,1.48,0.04,5.4,5.36
HUKJEMBZ,38,0.00640625,0.3603555555555556,0.2609375,0.9824999999999999,idle,CCbCfcBNNE0,1,135,1.52,0.04,5.4,5.36
HUKJEMBZ,39,0.00640625,0.35905000000000004,0.2609375,0.9824999999999999,idle,CCbCfcBNNE0,1,135,1.56,0.04,5.4,5.36
HUKJEMBZ,40,0.00640625,0.3577388888888889,0.2609375,0.9824999999999999,idle,CCbCfcBNNE0,1,135,1.6,0.04,5.4,5.36
HUKJEMBZ,41,0.00640625,0.35642777777777773,0.2609375,0.9824999999999999,idle,CCbCfcBNNE0,1,135,1.64,0.04,5.4,5.36
HUKJEMBZ,42,0.00640625,0.35511666666666664,0.2609375,0.9824999999999999,idle,CCbCfcBNNE0,1,135,1.68,0.04,5.4,5.36
HUKJEMBZ,43,0.00640625,0.35381111111111113,0.2609375,0.9824999999999999,idle,CCbCfcBNNE0,1,135,1.72,0.04,5.4,5.36
HUKJEMBZ,44,0.00640625,0.35250000000000004,0.2609375,0.9824999999999999,idle,CCbCfcBNNE0,1,135,1.76,0.04,5.4,5.36
HUKJEMBZ,45,0.00640625,0.3501666666666667,0.2609375,0.9824999999999999,idle,CCbCfcBNNE0,1,135,1.8,0.04,5.4,5.36
HUKJEMBZ,46,0.00640625,0.3478333333333333,0.2609375,0.9824999999999999,idle,CCbCfcBNNE0,1,135,1.84,0.04,5.4,5.36
HUKJEMBZ,47,0.00640625,0.3455,0.2609375,0.9824999999999999,idle,CCbCfcBNNE0,1,135,1.88,0.04,5.4,5.36
HUKJEMBZ,48,0.00640625,0.3431666666666667,0.2609375,0.9824999999999999,idle,CCbCfcBNNE0,1,135,1.92,0.04,5.4,5.36
HUKJEMBZ,49,0.00640625,0.3408333333333333,0.2609375,0.9824999999999999,idle,CCbCfcBNNE0,1,135,1.96,0.04,5.4,5.36
HUKJEMBZ,50,0.00640625,0.3385,0.2609375,0.9824999999999999,idle,CCbCfcBNNE0,1,135,2.0,0.04,5.4,5.36
HUKJEMBZ,51,0.00640625,0.33616666666666667,0.2609375,0.9824999999999999,idle,CCbCfcBNNE0,1,135,2.04,0.04,5.4,5.36
HUKJEMBZ,52,0.00640625,0.33383333333333337,0.2609375,0.9824999999999999,idle,CCbCfcBNNE0,1,135,2.08,0.04,5.4,5.36
HUKJEMBZ,53,0.00640625,0.3315,0.2609375,0.9824999999999999,idle,CCbCfcBNNE0,1,135,2.12,0.04,5.4,5.36
