video_uid,frame,x0,y0,x1,y1,action,bbox_id_new,frame_start,frame_end,time_current,time_start,time_end,duration
KFRLIOAI,2379,0.21031249999999999,0.43000000000000005,0.39171875,1.0,holding signage,5Eepjf7S5A0,2379,2405,95.16,95.16,96.2,1.0400000000000063
KFRLIOAI,2380,0.20345624999999998,0.42843888888888887,0.39171875,1.0,holding signage,5Eepjf7S5A0,2379,2405,95.2,95.16,96.2,1.0400000000000063
KFRLIOAI,2381,0.1966,0.42687777777777774,0.39171875,1.0,holding signage,5Eepjf7S5A0,2379,2405,95.24,95.16,96.2,1.0400000000000063
KFRLIOAI,2382,0.189746875,0.4253111111111111,0.39171875,1.0,holding signage,5Eepjf7S5A0,2379,2405,95.28,95.16,96.2,1.0400000000000063
KFRLIOAI,2383,0.182890625,0.42375,0.39171875,1.0,holding signage,5Eepjf7S5A0,2379,2405,95.32,95.16,96.2,1.0400000000000063
KFRLIOAI,2384,0.17603437500000002,0.4221888888888889,0.39171875,1.0,holding signage,5Eepjf7S5A0,2379,2405,95.36,95.16,96.2,1.0400000000000063
KFRLIOAI,2385,0.16918125,0.42062222222222223,0.39171875,1.0,holding signage,5Eepjf7S5A0,2379,2405,95.4,95.16,96.2,1.0400000000000063
KFRLIOAI,2386,0.162325,0.4190611111111111,0.39171875,1.0,holding signage,5Eepjf7S5A0,2379,2405,95.44,95.16,96.2,1.0400000000000063
KFRLIOAI,2387,0.15546875,0.41750000000000004,0.39171875,1.0,holding signage,5Eepjf7S5A0,2379,2405,95.48,95.16,96.2,1.0400000000000063
KFRLIOAI,2388,0.151690625,0.4160944444444445,0.38794062500000004,0.9993777777777778,holding signage,5Eepjf7S5A0,2379,2405,95.52,95.16,96.2,1.0400000000000063
KFRLIOAI,2389,0.147909375,0.41468888888888894,0.38415937499999997,0.99875,holding signage,5Eepjf7S5A0,2379,2405,95.56,95.16,96.2,1.0400000000000063
KFRLIOAI,2390,0.14413125,0.41328333333333334,0.38038125,0.9981222222222222,holding signage,5Eepjf7S5A0,2379,2405,95.6,95.16,96.2,1.0400000000000063
KFRLIOAI,2391,0.14035,0.4118777777777778,0.3766,0.9975,holding signage,5Eepjf7S5A0,2379,2405,95.64,95.16,96.2,1.0400000000000063
KFRLIOAI,2392,0.136571875,0.41046666666666665,0.37282187499999997,0.9968777777777778,holding signage,5Eepjf7S5A0,2379,2405,95.68,95.16,96.2,1.0400000000000063
KFRLIOAI,2393,0.13279375,0.4090611111111111,0.36904375,0.99625,holding signage,5Eepjf7S5A0,2379,2405,95.72,95.16,96.2,1.0400000000000063
KFRLIOAI,2394,0.1290125,0.40765555555555555,0.3652625,0.9956222222222222,holding signage,5Eepjf7S5A0,2379,2405,95.76,95.16,96.2,1.0400000000000063
KFRLIOAI,2395,0.125234375,0.40625,0.36148437499999997,0.995,holding signage,5Eepjf7S5A0,2379,2405,95.8,95.16,96.2,1.0400000000000063
KFRLIOAI,2396,0.12145625,0.40484444444444445,0.35770625,0.9943722222222222,holding signage,5Eepjf7S5A0,2379,2405,95.84,95.16,96.2,1.0400000000000063
KFRLIOAI,2397,0.117675,0.4034388888888889,0.353925,0.99375,holding signage,5Eepjf7S5A0,2379,2405,95.88,95.16,96.2,1.0400000000000063
KFRLIOAI,2398,0.11389687500000001,0.40203333333333335,0.35014687499999997,0.9931222222222222,holding signage,5Eepjf7S5A0,2379,2405,95.92,95.16,96.2,1.0400000000000063
KFRLIOAI,2399,0.11011875,0.4006222222222222,0.34636875,0.9925,holding signage,5Eepjf7S5A0,2379,2405,95.96,95.16,96.2,1.0400000000000063
KFRLIOAI,2400,0.1063375,0.39921666666666666,0.3425875,0.9918777777777779,holding signage,5Eepjf7S5A0,2379,2405,96.0,95.16,96.2,1.0400000000000063
KFRLIOAI,2401,0.10255937500000001,0.39781111111111106,0.33880937499999997,0.9912500000000001,holding signage,5Eepjf7S5A0,2379,2405,96.04,95.16,96.2,1.0400000000000063
KFRLIOAI,2402,0.09877812500000001,0.3964055555555555,0.335028125,0.9906222222222223,holding signage,5Eepjf7S5A0,2379,2405,96.08,95.16,96.2,1.0400000000000063
KFRLIOAI,2403,0.095,0.39499999999999996,0.33125,0.99,holding signage,5Eepjf7S5A0,2379,2405,96.12,95.16,96.2,1.0400000000000063
