video_uid,frame,x0,y0,x1,y1,action,bbox_id_new,frame_start,frame_end,time_current,time_start,time_end,duration
KRMSKBKH,765,0.130734375,0.3817555555555555,0.383028125,0.9933777777777777,holding flag,0RFU8Mlhp50,765,1310,30.6,30.6,52.4,21.799999999999997
KRMSKBKH,766,0.12782812500000001,0.38121111111111106,0.380121875,0.9928333333333333,holding flag,0RFU8Mlhp50,765,1310,30.64,30.6,52.4,21.799999999999997
KRMSKBKH,767,0.124925,0.38066666666666665,0.37721875,0.9922888888888889,holding flag,0RFU8Mlhp50,765,1310,30.68,30.6,52.4,21.799999999999997
KRMSKBKH,768,0.12201875,0.3801222222222222,0.3743125,0.9917444444444445,holding flag,0RFU8Mlhp50,765,1310,30.72,30.6,52.4,21.799999999999997
KRMSKBKH,769,0.1191125,0.37958333333333333,0.37140625,0.9912055555555556,holding flag,0RFU8Mlhp50,765,1310,30.76,30.6,52.4,21.799999999999997
KRMSKBKH,770,0.11620937499999999,0.3790388888888889,0.36850312500000004,0.990661111111111,holding flag,0RFU8Mlhp50,765,1310,30.8,30.6,52.4,21.799999999999997
KRMSKBKH,771,0.11330312499999999,0.37849444444444447,0.365596875,0.9901166666666666,holding flag,0RFU8Mlhp50,765,1310,30.84,30.6,52.4,21.799999999999997
KRMSKBKH,772,0.11039687499999999,0.37795,0.36269062500000004,0.9895722222222222,holding flag,0RFU8Mlhp50,765,1310,30.88,30.6,52.4,21.799999999999997
KRMSKBKH,773,0.10749375000000001,0.3774055555555556,0.35978750000000004,0.9890277777777778,holding flag,0RFU8Mlhp50,765,1310,30.92,30.6,52.4,21.799999999999997
KRMSKBKH,774,0.10458750000000001,0.3768611111111111,0.35688125,0.9884833333333333,holding flag,0RFU8Mlhp50,765,1310,30.96,30.6,52.4,21.799999999999997
KRMSKBKH,775,0.10168124999999999,0.37631666666666663,0.35397500000000004,0.9879388888888889,holding flag,0RFU8Mlhp50,765,1310,31.0,30.6,52.4,21.799999999999997
KRMSKBKH,776,0.09877812500000001,0.3757722222222222,0.35107187500000003,0.9873944444444445,holding flag,0RFU8Mlhp50,765,1310,31.04,30.6,52.4,21.799999999999997
KRMSKBKH,777,0.095871875,0.37523333333333336,0.348165625,0.9868555555555555,holding flag,0RFU8Mlhp50,765,1310,31.08,30.6,52.4,21.799999999999997
KRMSKBKH,778,0.092965625,0.3746888888888889,0.34525937500000003,0.9863111111111111,holding flag,0RFU8Mlhp50,765,1310,31.12,30.6,52.4,21.799999999999997
KRMSKBKH,779,0.0900625,0.37414444444444445,0.34235625000000003,0.9857666666666666,holding flag,0RFU8Mlhp50,765,1310,31.16,30.6,52.4,21.799999999999997
KRMSKBKH,780,0.08715625,0.37360000000000004,0.33945,0.9852222222222222,holding flag,0RFU8Mlhp50,765,1310,31.2,30.6,52.4,21.799999999999997
KRMSKBKH,781,0.087775,0.37293333333333334,0.340640625,0.9852000000000001,holding flag,0RFU8Mlhp50,765,1310,31.24,30.6,52.4,21.799999999999997
KRMSKBKH,782,0.08839375000000001,0.37226111111111115,0.34183125,0.9851777777777777,holding flag,0RFU8Mlhp50,765,1310,31.28,30.6,52.4,21.799999999999997
KRMSKBKH,783,0.08901250000000001,0.37159444444444445,0.34301875000000004,0.9851555555555556,holding flag,0RFU8Mlhp50,765,1310,31.32,30.6,52.4,21.799999999999997
KRMSKBKH,784,0.08963125,0.37092222222222226,0.34420937500000004,0.9851277777777778,holding flag,0RFU8Mlhp50,765,1310,31.36,30.6,52.4,21.799999999999997
KRMSKBKH,785,0.09025,0.37025555555555556,0.34540000000000004,0.9851055555555555,holding flag,0RFU8Mlhp50,765,1310,31.4,30.6,52.4,21.799999999999997
