video_uid,frame,x0,y0,x1,y1,action,bbox_id_new,frame_start,frame_end,time_current,time_start,time_end,duration
KUAMYURG,386,0.0012531250000000001,0.27276666666666666,0.34711875000000003,0.9945722222222222,holding signage,F9TuyKDjse0,386,510,15.44,15.44,20.4,4.959999999999999
KUAMYURG,387,0.001415625,0.27061111111111114,0.3485125,0.9943944444444445,holding signage,F9TuyKDjse0,386,510,15.48,15.44,20.4,4.959999999999999
KUAMYURG,388,0.001575,0.26845555555555556,0.349909375,0.9942111111111112,holding signage,F9TuyKDjse0,386,510,15.52,15.44,20.4,4.959999999999999
KUAMYURG,389,0.0017375000000000001,0.2663,0.351303125,0.9940333333333332,holding signage,F9TuyKDjse0,386,510,15.56,15.44,20.4,4.959999999999999
KUAMYURG,390,0.0019,0.26414444444444446,0.352696875,0.9938555555555556,holding signage,F9TuyKDjse0,386,510,15.6,15.44,20.4,4.959999999999999
KUAMYURG,391,0.0020625,0.2619888888888889,0.354090625,0.9936722222222222,holding signage,F9TuyKDjse0,386,510,15.64,15.44,20.4,4.959999999999999
KUAMYURG,392,0.002221875,0.25983333333333336,0.3554875,0.9934944444444445,holding signage,F9TuyKDjse0,386,510,15.68,15.44,20.4,4.959999999999999
KUAMYURG,393,0.002384375,0.25767222222222225,0.35688125,0.9933166666666666,holding signage,F9TuyKDjse0,386,510,15.72,15.44,20.4,4.959999999999999
KUAMYURG,394,0.0025468749999999997,0.25551666666666667,0.358275,0.9931333333333334,holding signage,F9TuyKDjse0,386,510,15.76,15.44,20.4,4.959999999999999
KUAMYURG,395,0.002709375,0.2533611111111111,0.35966875,0.9929555555555556,holding signage,F9TuyKDjse0,386,510,15.8,15.44,20.4,4.959999999999999
KUAMYURG,396,0.00286875,0.25120555555555557,0.361065625,0.9927777777777778,holding signage,F9TuyKDjse0,386,510,15.84,15.44,20.4,4.959999999999999
KUAMYURG,397,0.00303125,0.24905,0.362459375,0.9925944444444444,holding signage,F9TuyKDjse0,386,510,15.88,15.44,20.4,4.959999999999999
KUAMYURG,398,0.00319375,0.24689444444444447,0.363853125,0.9924166666666666,holding signage,F9TuyKDjse0,386,510,15.92,15.44,20.4,4.959999999999999
KUAMYURG,399,0.0033562500000000003,0.24473888888888887,0.36524999999999996,0.9922333333333333,holding signage,F9TuyKDjse0,386,510,15.96,15.44,20.4,4.959999999999999
KUAMYURG,400,0.003515625,0.24258333333333332,0.36664375,0.9920555555555555,holding signage,F9TuyKDjse0,386,510,16.0,15.44,20.4,4.959999999999999
KUAMYURG,401,0.003678125,0.2404277777777778,0.3680375,0.9918777777777779,holding signage,F9TuyKDjse0,386,510,16.04,15.44,20.4,4.959999999999999
KUAMYURG,402,0.0038406250000000003,0.23827222222222225,0.36943125,0.9916944444444444,holding signage,F9TuyKDjse0,386,510,16.08,15.44,20.4,4.959999999999999
KUAMYURG,403,0.004003125,0.23611666666666664,0.370828125,0.9915166666666667,holding signage,F9TuyKDjse0,386,510,16.12,15.44,20.4,4.959999999999999
KUAMYURG,404,0.0041625,0.23396111111111112,0.37222187500000004,0.9913388888888889,holding signage,F9TuyKDjse0,386,510,16.16,15.44,20.4,4.959999999999999
