video_uid,frame,x0,y0,x1,y1,action,bbox_id_new,frame_start,frame_end,time_current,time_start,time_end,duration
LYZJLWJO,1,0.10203124999999999,0.3475,0.23984375,0.9875,idle,87KI_Gq9Y20,1,61,0.04,0.04,2.44,2.4
LYZJLWJO,2,0.1034375,0.3459388888888889,0.24125000000000002,0.9859388888888888,idle,87KI_Gq9Y20,1,61,0.08,0.04,2.44,2.4
LYZJLWJO,3,0.10484374999999999,0.3443777777777778,0.24265625000000002,0.9843777777777777,idle,87KI_Gq9Y20,1,61,0.12,0.04,2.44,2.4
LYZJLWJO,4,0.10625,0.3428111111111111,0.2440625,0.9828111111111112,idle,87KI_Gq9Y20,1,61,0.16,0.04,2.44,2.4
LYZJLWJO,5,0.10765625000000001,0.34125,0.24546874999999999,0.98125,idle,87KI_Gq9Y20,1,61,0.2,0.04,2.44,2.4
LYZJLWJO,6,0.10906249999999999,0.3396888888888889,0.246875,0.9796888888888888,idle,87KI_Gq9Y20,1,61,0.24,0.04,2.44,2.4
LYZJLWJO,7,0.11046875,0.3381222222222222,0.24828125,0.9781222222222223,idle,87KI_Gq9Y20,1,61,0.28,0.04,2.44,2.4
LYZJLWJO,8,0.11187499999999999,0.33656111111111114,0.2496875,0.9765611111111111,idle,87KI_Gq9Y20,1,61,0.32,0.04,2.44,2.4
LYZJLWJO,9,0.11328125,0.33499999999999996,0.25109375,0.975,idle,87KI_Gq9Y20,1,61,0.36,0.04,2.44,2.4
LYZJLWJO,10,0.11468750000000001,0.3343777777777778,0.2525,0.9743777777777778,idle,87KI_Gq9Y20,1,61,0.4,0.04,2.44,2.4
LYZJLWJO,11,0.11609375,0.33375,0.25390625,0.97375,idle,87KI_Gq9Y20,1,61,0.44,0.04,2.44,2.4
LYZJLWJO,12,0.11750000000000001,0.33312222222222226,0.2553125,0.9731222222222222,idle,87KI_Gq9Y20,1,61,0.48,0.04,2.44,2.4
LYZJLWJO,13,0.11890624999999999,0.3325,0.25671875,0.9725,idle,87KI_Gq9Y20,1,61,0.52,0.04,2.44,2.4
