video_uid,frame,x0,y0,x1,y1,action,bbox_id_new,frame_start,frame_end,time_current,time_start,time_end,duration
TGMQEWHH,605,0.625,0.4798722222222222,0.660325,0.5845444444444444,holding signage,JNcT94MJEu0,605,630,24.2,24.2,25.2,1.0
TGMQEWHH,606,0.622825,0.4778333333333334,0.65815,0.5825055555555555,holding signage,JNcT94MJEu0,605,630,24.24,24.2,25.2,1.0
TGMQEWHH,607,0.620653125,0.47579444444444446,0.6559781250000001,0.5804666666666667,holding signage,JNcT94MJEu0,605,630,24.28,24.2,25.2,1.0
TGMQEWHH,608,0.618478125,0.47375555555555554,0.653803125,0.5784277777777778,holding signage,JNcT94MJEu0,605,630,24.32,24.2,25.2,1.0
TGMQEWHH,609,0.6163031250000001,0.47171111111111114,0.651628125,0.5763833333333334,holding signage,JNcT94MJEu0,605,630,24.36,24.2,25.2,1.0
TGMQEWHH,610,0.61413125,0.4696722222222222,0.64945625,0.5743444444444444,holding signage,JNcT94MJEu0,605,630,24.4,24.2,25.2,1.0
TGMQEWHH,611,0.61195625,0.46763333333333335,0.64728125,0.5723055555555555,holding signage,JNcT94MJEu0,605,630,24.44,24.2,25.2,1.0
TGMQEWHH,612,0.6097812499999999,0.4655944444444445,0.64510625,0.5702666666666667,holding signage,JNcT94MJEu0,605,630,24.48,24.2,25.2,1.0
TGMQEWHH,613,0.607609375,0.46355555555555555,0.6429343750000001,0.5682277777777778,holding signage,JNcT94MJEu0,605,630,24.52,24.2,25.2,1.0
TGMQEWHH,614,0.605434375,0.46151666666666663,0.640759375,0.5661888888888889,holding signage,JNcT94MJEu0,605,630,24.56,24.2,25.2,1.0
TGMQEWHH,615,0.603259375,0.4594777777777778,0.638584375,0.5641499999999999,holding signage,JNcT94MJEu0,605,630,24.6,24.2,25.2,1.0
TGMQEWHH,616,0.6010875,0.4574388888888889,0.6364124999999999,0.5621111111111111,holding signage,JNcT94MJEu0,605,630,24.64,24.2,25.2,1.0
TGMQEWHH,617,0.5989125,0.4553944444444445,0.6342375,0.5600666666666666,holding signage,JNcT94MJEu0,605,630,24.68,24.2,25.2,1.0
TGMQEWHH,618,0.5967374999999999,0.45335555555555557,0.6320625,0.5580277777777778,holding signage,JNcT94MJEu0,605,630,24.72,24.2,25.2,1.0
