video_uid,frame,x0,y0,x1,y1,action,bbox_id_new,frame_start,frame_end,time_current,time_start,time_end,duration
UBEFAKMQ,130,0.43125,0.5208333333333334,0.52578125,0.7763888888888889,walking,NKimFtE2BQ0,130,160,5.2,5.2,6.4,1.2000000000000002
UBEFAKMQ,131,0.42734375,0.5169444444444444,0.52890625,0.7769444444444444,walking,NKimFtE2BQ0,130,160,5.24,5.2,6.4,1.2000000000000002
UBEFAKMQ,132,0.4234375,0.5130555555555555,0.53203125,0.7775,walking,NKimFtE2BQ0,130,160,5.28,5.2,6.4,1.2000000000000002
UBEFAKMQ,133,0.41953125,0.5091666666666667,0.53515625,0.7780555555555556,walking,NKimFtE2BQ0,130,160,5.32,5.2,6.4,1.2000000000000002
UBEFAKMQ,134,0.415625,0.5052777777777778,0.53828125,0.7786111111111111,walking,NKimFtE2BQ0,130,160,5.36,5.2,6.4,1.2000000000000002
UBEFAKMQ,135,0.41171875,0.5013888888888889,0.54140625,0.7791666666666667,walking,NKimFtE2BQ0,130,160,5.4,5.2,6.4,1.2000000000000002
UBEFAKMQ,136,0.41171875,0.4988888888888889,0.53859375,0.7791666666666667,walking,NKimFtE2BQ0,130,160,5.44,5.2,6.4,1.2000000000000002
UBEFAKMQ,137,0.41171875,0.4963888888888889,0.53578125,0.7791666666666667,walking,NKimFtE2BQ0,130,160,5.48,5.2,6.4,1.2000000000000002
UBEFAKMQ,138,0.41171875,0.49388888888888893,0.53296875,0.7791666666666667,walking,NKimFtE2BQ0,130,160,5.52,5.2,6.4,1.2000000000000002
UBEFAKMQ,139,0.41171875,0.49138888888888893,0.53015625,0.7791666666666667,walking,NKimFtE2BQ0,130,160,5.56,5.2,6.4,1.2000000000000002
UBEFAKMQ,140,0.41171875,0.4888888888888889,0.52734375,0.7791666666666667,walking,NKimFtE2BQ0,130,160,5.6,5.2,6.4,1.2000000000000002
UBEFAKMQ,141,0.40265625,0.5002777777777777,0.51453125,0.7791666666666667,walking,NKimFtE2BQ0,130,160,5.64,5.2,6.4,1.2000000000000002
UBEFAKMQ,142,0.39359375,0.5116666666666666,0.50171875,0.7791666666666667,walking,NKimFtE2BQ0,130,160,5.68,5.2,6.4,1.2000000000000002
UBEFAKMQ,143,0.38453125,0.5230555555555556,0.48890625,0.7791666666666667,walking,NKimFtE2BQ0,130,160,5.72,5.2,6.4,1.2000000000000002
UBEFAKMQ,144,0.37546875,0.5344444444444445,0.47609375,0.7791666666666667,walking,NKimFtE2BQ0,130,160,5.76,5.2,6.4,1.2000000000000002
UBEFAKMQ,145,0.36640625,0.5458333333333333,0.46328125,0.7791666666666667,walking,NKimFtE2BQ0,130,160,5.8,5.2,6.4,1.2000000000000002
UBEFAKMQ,146,0.34828125,0.5497222222222222,0.44578125,0.7791666666666667,walking,NKimFtE2BQ0,130,160,5.84,5.2,6.4,1.2000000000000002
UBEFAKMQ,147,0.33015625000000004,0.5536111111111112,0.42828125000000006,0.7791666666666667,walking,NKimFtE2BQ0,130,160,5.88,5.2,6.4,1.2000000000000002
UBEFAKMQ,148,0.31203125,0.5575,0.41078125,0.7791666666666667,walking,NKimFtE2BQ0,130,160,5.92,5.2,6.4,1.2000000000000002
UBEFAKMQ,149,0.29390625,0.5613888888888888,0.39328124999999997,0.7791666666666667,walking,NKimFtE2BQ0,130,160,5.96,5.2,6.4,1.2000000000000002
UBEFAKMQ,150,0.27578125,0.5652777777777778,0.37578125,0.7791666666666667,walking,NKimFtE2BQ0,130,160,6.0,5.2,6.4,1.2000000000000002
UBEFAKMQ,151,0.26578124999999997,0.5644444444444444,0.365,0.7791666666666667,walking,NKimFtE2BQ0,130,160,6.04,5.2,6.4,1.2000000000000002
UBEFAKMQ,152,0.25578124999999996,0.5636111111111112,0.35421874999999997,0.7791666666666667,walking,NKimFtE2BQ0,130,160,6.08,5.2,6.4,1.2000000000000002
UBEFAKMQ,153,0.24578125,0.5627777777777777,0.3434375,0.7791666666666667,walking,NKimFtE2BQ0,130,160,6.12,5.2,6.4,1.2000000000000002
UBEFAKMQ,154,0.23578125,0.5619444444444445,0.33265625,0.7791666666666667,walking,NKimFtE2BQ0,130,160,6.16,5.2,6.4,1.2000000000000002
UBEFAKMQ,155,0.22578125,0.5611111111111111,0.321875,0.7791666666666667,walking,NKimFtE2BQ0,130,160,6.2,5.2,6.4,1.2000000000000002
UBEFAKMQ,156,0.26515625,0.5372222222222223,0.36343749999999997,0.7786111111111111,walking,NKimFtE2BQ0,130,160,6.24,5.2,6.4,1.2000000000000002
UBEFAKMQ,157,0.30453125000000003,0.5133333333333334,0.40499999999999997,0.7780555555555556,walking,NKimFtE2BQ0,130,160,6.28,5.2,6.4,1.2000000000000002
UBEFAKMQ,158,0.34390624999999997,0.4894444444444444,0.44656250000000003,0.7775,walking,NKimFtE2BQ0,130,160,6.32,5.2,6.4,1.2000000000000002
UBEFAKMQ,159,0.38328125,0.46555555555555556,0.488125,0.7769444444444444,walking,NKimFtE2BQ0,130,160,6.36,5.2,6.4,1.2000000000000002
UBEFAKMQ,130,0.42265625,0.44166666666666665,0.5296875,0.7763888888888889,walking,SVEWHV-N7W0,130,160,5.2,5.2,6.4,1.2000000000000002
UBEFAKMQ,131,0.41796875,0.4386111111111111,0.5296875,0.7763888888888889,walking,SVEWHV-N7W0,130,160,5.24,5.2,6.4,1.2000000000000002
UBEFAKMQ,132,0.41328125,0.4355555555555556,0.5296875,0.7763888888888889,walking,SVEWHV-N7W0,130,160,5.28,5.2,6.4,1.2000000000000002
UBEFAKMQ,133,0.40859375,0.4325,0.5296875,0.7763888888888889,walking,SVEWHV-N7W0,130,160,5.32,5.2,6.4,1.2000000000000002
UBEFAKMQ,134,0.40390625,0.4294444444444444,0.5296875,0.7763888888888889,walking,SVEWHV-N7W0,130,160,5.36,5.2,6.4,1.2000000000000002
UBEFAKMQ,135,0.39921875,0.4263888888888889,0.5296875,0.7763888888888889,walking,SVEWHV-N7W0,130,160,5.4,5.2,6.4,1.2000000000000002
UBEFAKMQ,136,0.3953125,0.42388888888888887,0.52609375,0.7763888888888889,walking,SVEWHV-N7W0,130,160,5.44,5.2,6.4,1.2000000000000002
UBEFAKMQ,137,0.39140625,0.42138888888888887,0.5225,0.7763888888888889,walking,SVEWHV-N7W0,130,160,5.48,5.2,6.4,1.2000000000000002
UBEFAKMQ,138,0.3875,0.4188888888888889,0.51890625,0.7763888888888889,walking,SVEWHV-N7W0,130,160,5.52,5.2,6.4,1.2000000000000002
UBEFAKMQ,139,0.38359375,0.4163888888888889,0.5153125000000001,0.7763888888888889,walking,SVEWHV-N7W0,130,160,5.56,5.2,6.4,1.2000000000000002
UBEFAKMQ,140,0.3796875,0.41388888888888886,0.51171875,0.7763888888888889,walking,SVEWHV-N7W0,130,160,5.6,5.2,6.4,1.2000000000000002
UBEFAKMQ,141,0.3715625,0.42194444444444446,0.5035937500000001,0.7763888888888889,walking,SVEWHV-N7W0,130,160,5.64,5.2,6.4,1.2000000000000002
UBEFAKMQ,142,0.36343749999999997,0.43000000000000005,0.49546875,0.7763888888888889,walking,SVEWHV-N7W0,130,160,5.68,5.2,6.4,1.2000000000000002
UBEFAKMQ,143,0.35531250000000003,0.43805555555555553,0.48734374999999996,0.7763888888888889,walking,SVEWHV-N7W0,130,160,5.72,5.2,6.4,1.2000000000000002
UBEFAKMQ,144,0.3471875,0.44611111111111107,0.47921874999999997,0.7763888888888889,walking,SVEWHV-N7W0,130,160,5.76,5.2,6.4,1.2000000000000002
UBEFAKMQ,145,0.3390625,0.45416666666666666,0.47109375,0.7763888888888889,walking,SVEWHV-N7W0,130,160,5.8,5.2,6.4,1.2000000000000002
UBEFAKMQ,146,0.32046874999999997,0.45555555555555555,0.45453124999999994,0.7763888888888889,walking,SVEWHV-N7W0,130,160,5.84,5.2,6.4,1.2000000000000002
UBEFAKMQ,147,0.301875,0.45694444444444443,0.43796875,0.7763888888888889,walking,SVEWHV-N7W0,130,160,5.88,5.2,6.4,1.2000000000000002
UBEFAKMQ,148,0.28328125000000004,0.4583333333333333,0.42140625,0.7763888888888889,walking,SVEWHV-N7W0,130,160,5.92,5.2,6.4,1.2000000000000002
UBEFAKMQ,149,0.2646875,0.4597222222222222,0.40484375000000006,0.7763888888888889,walking,SVEWHV-N7W0,130,160,5.96,5.2,6.4,1.2000000000000002
UBEFAKMQ,150,0.24609375,0.46111111111111114,0.38828125,0.7763888888888889,walking,SVEWHV-N7W0,130,160,6.0,5.2,6.4,1.2000000000000002
UBEFAKMQ,151,0.2365625,0.46111111111111114,0.38015625000000003,0.7763888888888889,walking,SVEWHV-N7W0,130,160,6.04,5.2,6.4,1.2000000000000002
UBEFAKMQ,152,0.22703125000000002,0.46111111111111114,0.37203125,0.7763888888888889,walking,SVEWHV-N7W0,130,160,6.08,5.2,6.4,1.2000000000000002
UBEFAKMQ,153,0.21749999999999997,0.46111111111111114,0.36390625,0.7763888888888889,walking,SVEWHV-N7W0,130,160,6.12,5.2,6.4,1.2000000000000002
UBEFAKMQ,154,0.20796874999999998,0.46111111111111114,0.35578125,0.7763888888888889,walking,SVEWHV-N7W0,130,160,6.16,5.2,6.4,1.2000000000000002
UBEFAKMQ,155,0.1984375,0.46111111111111114,0.34765625,0.7763888888888889,walking,SVEWHV-N7W0,130,160,6.2,5.2,6.4,1.2000000000000002
UBEFAKMQ,156,0.25625,0.49027777777777776,0.39640624999999996,0.7780555555555556,walking,SVEWHV-N7W0,130,160,6.24,5.2,6.4,1.2000000000000002
UBEFAKMQ,157,0.3140625,0.5194444444444445,0.44515625,0.7797222222222222,walking,SVEWHV-N7W0,130,160,6.28,5.2,6.4,1.2000000000000002
UBEFAKMQ,158,0.371875,0.5486111111111112,0.49390625000000005,0.7813888888888889,walking,SVEWHV-N7W0,130,160,6.32,5.2,6.4,1.2000000000000002
UBEFAKMQ,159,0.4296875,0.5777777777777777,0.5426562500000001,0.7830555555555555,walking,SVEWHV-N7W0,130,160,6.36,5.2,6.4,1.2000000000000002
UBEFAKMQ,130,0.4875,0.6069444444444444,0.59140625,0.7847222222222222,walking,qQHghcwJBK0,130,140,5.2,5.2,5.6,0.39999999999999947
UBEFAKMQ,131,0.475703125,0.6065277777777778,0.579609375,0.7840277777777778,walking,qQHghcwJBK0,130,140,5.24,5.2,5.6,0.39999999999999947
UBEFAKMQ,132,0.46390624999999996,0.606111111111111,0.5678124999999999,0.7833333333333333,walking,qQHghcwJBK0,130,140,5.28,5.2,5.6,0.39999999999999947
UBEFAKMQ,133,0.45210937500000004,0.6056944444444444,0.556015625,0.7826388888888889,walking,qQHghcwJBK0,130,140,5.32,5.2,5.6,0.39999999999999947
