video_uid,frame,x0,y0,x1,y1,action,bbox_id_new,frame_start,frame_end,time_current,time_start,time_end,duration
WKWQBYXX,590,0.558225,0.010372222222222222,0.7634000000000001,0.7234555555555556,pinning,Y33b5L1vAl0,590,700,23.6,23.6,28.0,4.399999999999999
WKWQBYXX,590,0.558225,0.010372222222222222,0.7634000000000001,0.7234555555555556,arresting,Y33b5L1vAl0,590,700,23.6,23.6,28.0,4.399999999999999
WKWQBYXX,591,0.557115625,0.010372222222222222,0.7634000000000001,0.7234555555555556,pinning,Y33b5L1vAl0,590,700,23.64,23.6,28.0,4.399999999999999
WKWQBYXX,591,0.557115625,0.010372222222222222,0.7634000000000001,0.7234555555555556,arresting,Y33b5L1vAl0,590,700,23.64,23.6,28.0,4.399999999999999
WKWQBYXX,592,0.55600625,0.010372222222222222,0.7634000000000001,0.7234555555555556,pinning,Y33b5L1vAl0,590,700,23.68,23.6,28.0,4.399999999999999
WKWQBYXX,592,0.55600625,0.010372222222222222,0.7634000000000001,0.7234555555555556,arresting,Y33b5L1vAl0,590,700,23.68,23.6,28.0,4.399999999999999
WKWQBYXX,593,0.5548968750000001,0.010372222222222222,0.7634000000000001,0.7234555555555556,pinning,Y33b5L1vAl0,590,700,23.72,23.6,28.0,4.399999999999999
WKWQBYXX,593,0.5548968750000001,0.010372222222222222,0.7634000000000001,0.7234555555555556,arresting,Y33b5L1vAl0,590,700,23.72,23.6,28.0,4.399999999999999
WKWQBYXX,594,0.5537875,0.010372222222222222,0.7634000000000001,0.7234555555555556,pinning,Y33b5L1vAl0,590,700,23.76,23.6,28.0,4.399999999999999
WKWQBYXX,594,0.5537875,0.010372222222222222,0.7634000000000001,0.7234555555555556,arresting,Y33b5L1vAl0,590,700,23.76,23.6,28.0,4.399999999999999
WKWQBYXX,595,0.55268125,0.010372222222222222,0.7634000000000001,0.7234555555555556,pinning,Y33b5L1vAl0,590,700,23.8,23.6,28.0,4.399999999999999
WKWQBYXX,595,0.55268125,0.010372222222222222,0.7634000000000001,0.7234555555555556,arresting,Y33b5L1vAl0,590,700,23.8,23.6,28.0,4.399999999999999
WKWQBYXX,596,0.5515718749999999,0.010372222222222222,0.7634000000000001,0.7234555555555556,pinning,Y33b5L1vAl0,590,700,23.84,23.6,28.0,4.399999999999999
WKWQBYXX,596,0.5515718749999999,0.010372222222222222,0.7634000000000001,0.7234555555555556,arresting,Y33b5L1vAl0,590,700,23.84,23.6,28.0,4.399999999999999
WKWQBYXX,597,0.5504625,0.010372222222222222,0.7634000000000001,0.7234555555555556,pinning,Y33b5L1vAl0,590,700,23.88,23.6,28.0,4.399999999999999
WKWQBYXX,597,0.5504625,0.010372222222222222,0.7634000000000001,0.7234555555555556,arresting,Y33b5L1vAl0,590,700,23.88,23.6,28.0,4.399999999999999
WKWQBYXX,598,0.549353125,0.010372222222222222,0.7634000000000001,0.7234555555555556,pinning,Y33b5L1vAl0,590,700,23.92,23.6,28.0,4.399999999999999
WKWQBYXX,598,0.549353125,0.010372222222222222,0.7634000000000001,0.7234555555555556,arresting,Y33b5L1vAl0,590,700,23.92,23.6,28.0,4.399999999999999
WKWQBYXX,599,0.5482437499999999,0.010372222222222222,0.7634000000000001,0.7234555555555556,pinning,Y33b5L1vAl0,590,700,23.96,23.6,28.0,4.399999999999999
WKWQBYXX,599,0.5482437499999999,0.010372222222222222,0.7634000000000001,0.7234555555555556,arresting,Y33b5L1vAl0,590,700,23.96,23.6,28.0,4.399999999999999
WKWQBYXX,600,0.547134375,0.010372222222222222,0.7634000000000001,0.7234555555555556,pinning,Y33b5L1vAl0,590,700,24.0,23.6,28.0,4.399999999999999
WKWQBYXX,600,0.547134375,0.010372222222222222,0.7634000000000001,0.7234555555555556,arresting,Y33b5L1vAl0,590,700,24.0,23.6,28.0,4.399999999999999
WKWQBYXX,601,0.546025,0.010372222222222222,0.7634000000000001,0.7234555555555556,pinning,Y33b5L1vAl0,590,700,24.04,23.6,28.0,4.399999999999999
WKWQBYXX,601,0.546025,0.010372222222222222,0.7634000000000001,0.7234555555555556,arresting,Y33b5L1vAl0,590,700,24.04,23.6,28.0,4.399999999999999
WKWQBYXX,602,0.544915625,0.010372222222222222,0.7634000000000001,0.7234555555555556,pinning,Y33b5L1vAl0,590,700,24.08,23.6,28.0,4.399999999999999
WKWQBYXX,602,0.544915625,0.010372222222222222,0.7634000000000001,0.7234555555555556,arresting,Y33b5L1vAl0,590,700,24.08,23.6,28.0,4.399999999999999
