video_uid,frame,x0,y0,x1,y1,action,bbox_id_new,frame_start,frame_end,time_current,time_start,time_end,duration
WYOLQADC,6613,0.87265625,0.495,0.91484375,0.6575,running/escaping,1c0nldn40Q0,6613,6716,264.52,264.52,268.64,4.1200000000000045
WYOLQADC,6614,0.87340625,0.4955,0.91559375,0.658,running/escaping,1c0nldn40Q0,6613,6716,264.56,264.52,268.64,4.1200000000000045
WYOLQADC,6615,0.8741562500000001,0.496,0.91634375,0.6585,running/escaping,1c0nldn40Q0,6613,6716,264.6,264.52,268.64,4.1200000000000045
WYOLQADC,6616,0.8749062500000001,0.49650000000000005,0.91709375,0.659,running/escaping,1c0nldn40Q0,6613,6716,264.64,264.52,268.64,4.1200000000000045
WYOLQADC,6617,0.8756562499999999,0.49699999999999994,0.91784375,0.6595,running/escaping,1c0nldn40Q0,6613,6716,264.68,264.52,268.64,4.1200000000000045
WYOLQADC,6618,0.8764062499999999,0.4975,0.91859375,0.66,running/escaping,1c0nldn40Q0,6613,6716,264.72,264.52,268.64,4.1200000000000045
WYOLQADC,6619,0.87715625,0.498,0.91934375,0.6605,running/escaping,1c0nldn40Q0,6613,6716,264.76,264.52,268.64,4.1200000000000045
WYOLQADC,6620,0.87790625,0.4985,0.92009375,0.661,running/escaping,1c0nldn40Q0,6613,6716,264.8,264.52,268.64,4.1200000000000045
WYOLQADC,6621,0.87865625,0.49899999999999994,0.9208437500000001,0.6615,running/escaping,1c0nldn40Q0,6613,6716,264.84,264.52,268.64,4.1200000000000045
WYOLQADC,6622,0.8794062500000001,0.4995,0.9215937500000001,0.662,running/escaping,1c0nldn40Q0,6613,6716,264.88,264.52,268.64,4.1200000000000045
WYOLQADC,6623,0.88015625,0.5,0.9223437499999999,0.6625,running/escaping,1c0nldn40Q0,6613,6716,264.92,264.52,268.64,4.1200000000000045
WYOLQADC,6624,0.88090625,0.5005000000000001,0.9230937499999999,0.663,running/escaping,1c0nldn40Q0,6613,6716,264.96,264.52,268.64,4.1200000000000045
WYOLQADC,6625,0.88165625,0.501,0.92384375,0.6635000000000001,running/escaping,1c0nldn40Q0,6613,6716,265.0,264.52,268.64,4.1200000000000045
WYOLQADC,6626,0.8824062500000001,0.5015,0.92459375,0.6639999999999999,running/escaping,1c0nldn40Q0,6613,6716,265.04,264.52,268.64,4.1200000000000045
WYOLQADC,6627,0.8831562500000001,0.502,0.92534375,0.6645,running/escaping,1c0nldn40Q0,6613,6716,265.08,264.52,268.64,4.1200000000000045
WYOLQADC,6628,0.8839062500000001,0.5025000000000001,0.92609375,0.665,running/escaping,1c0nldn40Q0,6613,6716,265.12,264.52,268.64,4.1200000000000045
WYOLQADC,6629,0.8839062500000001,0.5225,0.92609375,0.6849999999999999,running/escaping,1c0nldn40Q0,6613,6716,265.16,264.52,268.64,4.1200000000000045
WYOLQADC,6630,0.881375,0.5225,0.9235625000000001,0.6849999999999999,running/escaping,1c0nldn40Q0,6613,6716,265.2,264.52,268.64,4.1200000000000045
WYOLQADC,6631,0.87884375,0.5225,0.9210312500000001,0.6849999999999999,running/escaping,1c0nldn40Q0,6613,6716,265.24,264.52,268.64,4.1200000000000045
