video_uid,frame,x0,y0,x1,y1,action,bbox_id_new,frame_start,frame_end,time_current,time_start,time_end,duration
XITOVXVK,1,0.471875,0.485,0.6068749999999999,1.0,walking,0nlUR8pmWU0,1,134,0.04,0.04,5.36,5.32
XITOVXVK,2,0.471875,0.485,0.6072124999999999,1.0,walking,0nlUR8pmWU0,1,134,0.08,0.04,5.36,5.32
XITOVXVK,3,0.471875,0.485,0.607553125,1.0,walking,0nlUR8pmWU0,1,134,0.12,0.04,5.36,5.32
XITOVXVK,4,0.471875,0.485,0.607890625,1.0,walking,0nlUR8pmWU0,1,134,0.16,0.04,5.36,5.32
XITOVXVK,5,0.471875,0.485,0.60823125,1.0,walking,0nlUR8pmWU0,1,134,0.2,0.04,5.36,5.32
XITOVXVK,6,0.471875,0.485,0.60856875,1.0,walking,0nlUR8pmWU0,1,134,0.24,0.04,5.36,5.32
XITOVXVK,7,0.471875,0.485,0.608909375,1.0,walking,0nlUR8pmWU0,1,134,0.28,0.04,5.36,5.32
XITOVXVK,8,0.471875,0.485,0.609246875,1.0,walking,0nlUR8pmWU0,1,134,0.32,0.04,5.36,5.32
XITOVXVK,9,0.471875,0.485,0.6095843750000001,1.0,walking,0nlUR8pmWU0,1,134,0.36,0.04,5.36,5.32
XITOVXVK,10,0.471875,0.485,0.6099249999999999,1.0,walking,0nlUR8pmWU0,1,134,0.4,0.04,5.36,5.32
XITOVXVK,11,0.471875,0.485,0.6102624999999999,1.0,walking,0nlUR8pmWU0,1,134,0.44,0.04,5.36,5.32
XITOVXVK,12,0.471875,0.485,0.610603125,1.0,walking,0nlUR8pmWU0,1,134,0.48,0.04,5.36,5.32
XITOVXVK,13,0.471875,0.485,0.610940625,1.0,walking,0nlUR8pmWU0,1,134,0.52,0.04,5.36,5.32
XITOVXVK,14,0.471875,0.485,0.61128125,1.0,walking,0nlUR8pmWU0,1,134,0.56,0.04,5.36,5.32
XITOVXVK,15,0.471875,0.485,0.61161875,1.0,walking,0nlUR8pmWU0,1,134,0.6,0.04,5.36,5.32
XITOVXVK,16,0.471875,0.485,0.611959375,1.0,walking,0nlUR8pmWU0,1,134,0.64,0.04,5.36,5.32
XITOVXVK,17,0.471875,0.485,0.612296875,1.0,walking,0nlUR8pmWU0,1,134,0.68,0.04,5.36,5.32
XITOVXVK,18,0.471875,0.485,0.6126343750000001,1.0,walking,0nlUR8pmWU0,1,134,0.72,0.04,5.36,5.32
XITOVXVK,19,0.471875,0.485,0.6129749999999999,1.0,walking,0nlUR8pmWU0,1,134,0.76,0.04,5.36,5.32
XITOVXVK,20,0.471875,0.485,0.6133124999999999,1.0,walking,0nlUR8pmWU0,1,134,0.8,0.04,5.36,5.32
XITOVXVK,21,0.471875,0.485,0.613653125,1.0,walking,0nlUR8pmWU0,1,134,0.84,0.04,5.36,5.32
XITOVXVK,22,0.471875,0.485,0.613990625,1.0,walking,0nlUR8pmWU0,1,134,0.88,0.04,5.36,5.32
XITOVXVK,23,0.471875,0.485,0.61433125,1.0,walking,0nlUR8pmWU0,1,134,0.92,0.04,5.36,5.32
XITOVXVK,24,0.471875,0.485,0.61466875,1.0,walking,0nlUR8pmWU0,1,134,0.96,0.04,5.36,5.32
XITOVXVK,25,0.471875,0.485,0.61500625,1.0,walking,0nlUR8pmWU0,1,134,1.0,0.04,5.36,5.32
XITOVXVK,26,0.471875,0.485,0.615346875,1.0,walking,0nlUR8pmWU0,1,134,1.04,0.04,5.36,5.32
XITOVXVK,27,0.471875,0.485,0.6156843750000001,1.0,walking,0nlUR8pmWU0,1,134,1.08,0.04,5.36,5.32
XITOVXVK,28,0.471875,0.485,0.6160249999999999,1.0,walking,0nlUR8pmWU0,1,134,1.12,0.04,5.36,5.32
XITOVXVK,29,0.471875,0.485,0.6163624999999999,1.0,walking,0nlUR8pmWU0,1,134,1.16,0.04,5.36,5.32
XITOVXVK,30,0.471875,0.485,0.616703125,1.0,walking,0nlUR8pmWU0,1,134,1.2,0.04,5.36,5.32
XITOVXVK,31,0.471875,0.485,0.617040625,1.0,walking,0nlUR8pmWU0,1,134,1.24,0.04,5.36,5.32
XITOVXVK,32,0.471875,0.485,0.617378125,1.0,walking,0nlUR8pmWU0,1,134,1.28,0.04,5.36,5.32
XITOVXVK,33,0.471875,0.485,0.61771875,1.0,walking,0nlUR8pmWU0,1,134,1.32,0.04,5.36,5.32
XITOVXVK,34,0.471875,0.485,0.61805625,1.0,walking,0nlUR8pmWU0,1,134,1.36,0.04,5.36,5.32
XITOVXVK,35,0.471875,0.485,0.618396875,1.0,walking,0nlUR8pmWU0,1,134,1.4,0.04,5.36,5.32
XITOVXVK,36,0.471875,0.485,0.6187343750000001,1.0,walking,0nlUR8pmWU0,1,134,1.44,0.04,5.36,5.32
XITOVXVK,37,0.471875,0.485,0.619075,1.0,walking,0nlUR8pmWU0,1,134,1.48,0.04,5.36,5.32
XITOVXVK,38,0.471875,0.485,0.6194124999999999,1.0,walking,0nlUR8pmWU0,1,134,1.52,0.04,5.36,5.32
XITOVXVK,39,0.471875,0.485,0.61975,1.0,walking,0nlUR8pmWU0,1,134,1.56,0.04,5.36,5.32
XITOVXVK,40,0.471875,0.485,0.620090625,1.0,walking,0nlUR8pmWU0,1,134,1.6,0.04,5.36,5.32
XITOVXVK,41,0.471875,0.485,0.620428125,1.0,walking,0nlUR8pmWU0,1,134,1.64,0.04,5.36,5.32
XITOVXVK,42,0.471875,0.485,0.62076875,1.0,walking,0nlUR8pmWU0,1,134,1.68,0.04,5.36,5.32
XITOVXVK,43,0.471875,0.485,0.62110625,1.0,walking,0nlUR8pmWU0,1,134,1.72,0.04,5.36,5.32
XITOVXVK,44,0.471875,0.485,0.621446875,1.0,walking,0nlUR8pmWU0,1,134,1.76,0.04,5.36,5.32
XITOVXVK,45,0.471875,0.485,0.6217843750000001,1.0,walking,0nlUR8pmWU0,1,134,1.8,0.04,5.36,5.32
XITOVXVK,46,0.471875,0.485,0.622125,1.0,walking,0nlUR8pmWU0,1,134,1.84,0.04,5.36,5.32
XITOVXVK,47,0.471875,0.485,0.6224624999999999,1.0,walking,0nlUR8pmWU0,1,134,1.88,0.04,5.36,5.32
XITOVXVK,48,0.471875,0.485,0.6228,1.0,walking,0nlUR8pmWU0,1,134,1.92,0.04,5.36,5.32
XITOVXVK,49,0.471875,0.485,0.623140625,1.0,walking,0nlUR8pmWU0,1,134,1.96,0.04,5.36,5.32
XITOVXVK,50,0.471875,0.485,0.623478125,1.0,walking,0nlUR8pmWU0,1,134,2.0,0.04,5.36,5.32
XITOVXVK,51,0.471875,0.485,0.6238187500000001,1.0,walking,0nlUR8pmWU0,1,134,2.04,0.04,5.36,5.32
XITOVXVK,52,0.471875,0.485,0.62415625,1.0,walking,0nlUR8pmWU0,1,134,2.08,0.04,5.36,5.32
XITOVXVK,53,0.471875,0.485,0.624496875,1.0,walking,0nlUR8pmWU0,1,134,2.12,0.04,5.36,5.32
XITOVXVK,54,0.471875,0.485,0.624834375,1.0,walking,0nlUR8pmWU0,1,134,2.16,0.04,5.36,5.32
XITOVXVK,55,0.471875,0.485,0.625171875,1.0,walking,0nlUR8pmWU0,1,134,2.2,0.04,5.36,5.32
XITOVXVK,56,0.471875,0.485,0.6255124999999999,1.0,walking,0nlUR8pmWU0,1,134,2.24,0.04,5.36,5.32
XITOVXVK,57,0.471875,0.485,0.62585,1.0,walking,0nlUR8pmWU0,1,134,2.28,0.04,5.36,5.32
XITOVXVK,58,0.471875,0.485,0.626190625,1.0,walking,0nlUR8pmWU0,1,134,2.32,0.04,5.36,5.32
XITOVXVK,59,0.471875,0.485,0.626528125,1.0,walking,0nlUR8pmWU0,1,134,2.36,0.04,5.36,5.32
XITOVXVK,60,0.471875,0.485,0.6268687500000001,1.0,walking,0nlUR8pmWU0,1,134,2.4,0.04,5.36,5.32
XITOVXVK,61,0.471875,0.485,0.62720625,1.0,walking,0nlUR8pmWU0,1,134,2.44,0.04,5.36,5.32
XITOVXVK,62,0.471875,0.485,0.62754375,1.0,walking,0nlUR8pmWU0,1,134,2.48,0.04,5.36,5.32
XITOVXVK,63,0.471875,0.485,0.627884375,1.0,walking,0nlUR8pmWU0,1,134,2.52,0.04,5.36,5.32
XITOVXVK,64,0.471875,0.485,0.628221875,1.0,walking,0nlUR8pmWU0,1,134,2.56,0.04,5.36,5.32
XITOVXVK,65,0.471875,0.485,0.6285624999999999,1.0,walking,0nlUR8pmWU0,1,134,2.6,0.04,5.36,5.32
XITOVXVK,66,0.471875,0.485,0.6289,1.0,walking,0nlUR8pmWU0,1,134,2.64,0.04,5.36,5.32
XITOVXVK,67,0.471875,0.485,0.629240625,1.0,walking,0nlUR8pmWU0,1,134,2.68,0.04,5.36,5.32
XITOVXVK,68,0.471875,0.485,0.629578125,1.0,walking,0nlUR8pmWU0,1,134,2.72,0.04,5.36,5.32
XITOVXVK,69,0.471875,0.485,0.629915625,1.0,walking,0nlUR8pmWU0,1,134,2.76,0.04,5.36,5.32
XITOVXVK,70,0.471875,0.485,0.63025625,1.0,walking,0nlUR8pmWU0,1,134,2.8,0.04,5.36,5.32
XITOVXVK,71,0.471875,0.485,0.63059375,1.0,walking,0nlUR8pmWU0,1,134,2.84,0.04,5.36,5.32
XITOVXVK,72,0.471875,0.485,0.630934375,1.0,walking,0nlUR8pmWU0,1,134,2.88,0.04,5.36,5.32
XITOVXVK,73,0.471875,0.485,0.631271875,1.0,walking,0nlUR8pmWU0,1,134,2.92,0.04,5.36,5.32
XITOVXVK,74,0.471875,0.485,0.6316125,1.0,walking,0nlUR8pmWU0,1,134,2.96,0.04,5.36,5.32
XITOVXVK,75,0.471875,0.485,0.63195,1.0,walking,0nlUR8pmWU0,1,134,3.0,0.04,5.36,5.32
XITOVXVK,76,0.471875,0.485,0.632290625,1.0,walking,0nlUR8pmWU0,1,134,3.04,0.04,5.36,5.32
XITOVXVK,77,0.471875,0.485,0.632628125,1.0,walking,0nlUR8pmWU0,1,134,3.08,0.04,5.36,5.32
XITOVXVK,78,0.471875,0.485,0.632965625,1.0,walking,0nlUR8pmWU0,1,134,3.12,0.04,5.36,5.32
XITOVXVK,79,0.471875,0.485,0.63330625,1.0,walking,0nlUR8pmWU0,1,134,3.16,0.04,5.36,5.32
XITOVXVK,80,0.471875,0.485,0.63364375,1.0,walking,0nlUR8pmWU0,1,134,3.2,0.04,5.36,5.32
XITOVXVK,81,0.471875,0.485,0.633984375,1.0,walking,0nlUR8pmWU0,1,134,3.24,0.04,5.36,5.32
XITOVXVK,82,0.471875,0.485,0.634321875,1.0,walking,0nlUR8pmWU0,1,134,3.28,0.04,5.36,5.32
XITOVXVK,83,0.471875,0.485,0.6346625,1.0,walking,0nlUR8pmWU0,1,134,3.32,0.04,5.36,5.32
XITOVXVK,84,0.471875,0.485,0.635,1.0,walking,0nlUR8pmWU0,1,134,3.36,0.04,5.36,5.32
