video_uid,frame,x0,y0,x1,y1,action,bbox_id_new,frame_start,frame_end,time_current,time_start,time_end,duration
YLBPOQCO,283,0.2609375,0.2275,0.53515625,1.0,arresting,0IgmozbnrY0,283,339,11.32,11.32,13.56,2.24
YLBPOQCO,284,0.25625,0.22237222222222222,0.53046875,0.9963722222222222,arresting,0IgmozbnrY0,283,339,11.36,11.32,13.56,2.24
YLBPOQCO,285,0.2515625,0.21724999999999997,0.52578125,0.9927499999999999,arresting,0IgmozbnrY0,283,339,11.4,11.32,13.56,2.24
YLBPOQCO,286,0.246875,0.21212222222222224,0.52109375,0.9891222222222222,arresting,0IgmozbnrY0,283,339,11.44,11.32,13.56,2.24
YLBPOQCO,287,0.2421875,0.207,0.51640625,0.9854999999999999,arresting,0IgmozbnrY0,283,339,11.48,11.32,13.56,2.24
YLBPOQCO,288,0.2375,0.20187222222222223,0.51171875,0.9818722222222221,arresting,0IgmozbnrY0,283,339,11.52,11.32,13.56,2.24
YLBPOQCO,289,0.2496875,0.19375,0.52390625,0.97375,arresting,0IgmozbnrY0,283,339,11.56,11.32,13.56,2.24
YLBPOQCO,290,0.241015625,0.1902111111111111,0.515234375,0.9781222222222223,arresting,0IgmozbnrY0,283,339,11.6,11.32,13.56,2.24
YLBPOQCO,291,0.23234375,0.18666666666666668,0.5065625,0.9824999999999999,arresting,0IgmozbnrY0,283,339,11.64,11.32,13.56,2.24
YLBPOQCO,292,0.22367187500000002,0.18312222222222224,0.497890625,0.9868777777777779,arresting,0IgmozbnrY0,283,339,11.68,11.32,13.56,2.24
YLBPOQCO,293,0.215,0.17958333333333334,0.48921875000000004,0.9912500000000001,arresting,0IgmozbnrY0,283,339,11.72,11.32,13.56,2.24
YLBPOQCO,294,0.20632812500000003,0.17604444444444445,0.48054687500000004,0.9956222222222222,arresting,0IgmozbnrY0,283,339,11.76,11.32,13.56,2.24
YLBPOQCO,295,0.19765625,0.17250000000000001,0.471875,1.0,arresting,0IgmozbnrY0,283,339,11.8,11.32,13.56,2.24
YLBPOQCO,296,0.192928125,0.18197777777777777,0.46714687499999996,0.9936444444444444,arresting,0IgmozbnrY0,283,339,11.84,11.32,13.56,2.24
YLBPOQCO,297,0.18819999999999998,0.1914611111111111,0.46241875,0.9872944444444444,arresting,0IgmozbnrY0,283,339,11.88,11.32,13.56,2.24
YLBPOQCO,298,0.183471875,0.20093888888888886,0.457690625,0.9809388888888888,arresting,0IgmozbnrY0,283,339,11.92,11.32,13.56,2.24
YLBPOQCO,299,0.179209375,0.1529222222222222,0.453428125,0.9329222222222222,arresting,0IgmozbnrY0,283,339,11.96,11.32,13.56,2.24
YLBPOQCO,300,0.1874875,0.17156666666666667,0.46170625000000004,0.9515666666666667,arresting,0IgmozbnrY0,283,339,12.0,11.32,13.56,2.24
YLBPOQCO,301,0.19576875,0.19021666666666665,0.46998749999999995,0.9702166666666667,arresting,0IgmozbnrY0,283,339,12.04,11.32,13.56,2.24
YLBPOQCO,302,0.20404687500000002,0.2088611111111111,0.47826562499999997,0.9888611111111112,arresting,0IgmozbnrY0,283,339,12.08,11.32,13.56,2.24
YLBPOQCO,303,0.21510625,0.20789444444444444,0.489325,0.9878944444444444,arresting,0IgmozbnrY0,283,339,12.12,11.32,13.56,2.24
YLBPOQCO,304,0.2261625,0.20693333333333333,0.50038125,0.9869333333333333,arresting,0IgmozbnrY0,283,339,12.16,11.32,13.56,2.24
YLBPOQCO,305,0.237221875,0.20596666666666666,0.511440625,0.9859666666666667,arresting,0IgmozbnrY0,283,339,12.2,11.32,13.56,2.24
YLBPOQCO,306,0.24828125,0.205,0.5225,0.9850000000000001,arresting,0IgmozbnrY0,283,339,12.24,11.32,13.56,2.24
YLBPOQCO,307,0.27218749999999997,0.20166666666666666,0.54640625,0.9816666666666666,arresting,0IgmozbnrY0,283,339,12.28,11.32,13.56,2.24
YLBPOQCO,308,0.29609375,0.19833333333333336,0.5703125,0.9783333333333333,arresting,0IgmozbnrY0,283,339,12.32,11.32,13.56,2.24
YLBPOQCO,309,0.32,0.195,0.59421875,0.975,arresting,0IgmozbnrY0,283,339,12.36,11.32,13.56,2.24
YLBPOQCO,310,0.317,0.20108333333333334,0.585078125,0.97125,arresting,0IgmozbnrY0,283,339,12.4,11.32,13.56,2.24
YLBPOQCO,311,0.314,0.20716666666666667,0.5759375,0.9675,arresting,0IgmozbnrY0,283,339,12.44,11.32,13.56,2.24
YLBPOQCO,312,0.311,0.21325,0.566796875,0.96375,arresting,0IgmozbnrY0,283,339,12.48,11.32,13.56,2.24
YLBPOQCO,313,0.308,0.21933333333333332,0.55765625,0.9600000000000001,arresting,0IgmozbnrY0,283,339,12.52,11.32,13.56,2.24
YLBPOQCO,314,0.305,0.22541666666666668,0.5485156250000001,0.95625,arresting,0IgmozbnrY0,283,339,12.56,11.32,13.56,2.24
YLBPOQCO,315,0.302,0.2315,0.5393749999999999,0.9524999999999999,arresting,0IgmozbnrY0,283,339,12.6,11.32,13.56,2.24
YLBPOQCO,316,0.29900000000000004,0.23758333333333334,0.530234375,0.94875,arresting,0IgmozbnrY0,283,339,12.64,11.32,13.56,2.24
YLBPOQCO,317,0.296,0.24366666666666667,0.52109375,0.945,arresting,0IgmozbnrY0,283,339,12.68,11.32,13.56,2.24
YLBPOQCO,318,0.29300000000000004,0.24975,0.511953125,0.94125,arresting,0IgmozbnrY0,283,339,12.72,11.32,13.56,2.24
YLBPOQCO,319,0.29,0.2558333333333333,0.5028125,0.9375,arresting,0IgmozbnrY0,283,339,12.76,11.32,13.56,2.24
YLBPOQCO,320,0.28700000000000003,0.2619166666666667,0.493671875,0.93375,arresting,0IgmozbnrY0,283,339,12.8,11.32,13.56,2.24
YLBPOQCO,321,0.284,0.268,0.48453125,0.93,arresting,0IgmozbnrY0,283,339,12.84,11.32,13.56,2.24
YLBPOQCO,322,0.281,0.27408333333333335,0.475390625,0.92625,arresting,0IgmozbnrY0,283,339,12.88,11.32,13.56,2.24
YLBPOQCO,323,0.27799999999999997,0.2801666666666667,0.46624999999999994,0.9225000000000001,arresting,0IgmozbnrY0,283,339,12.92,11.32,13.56,2.24
YLBPOQCO,324,0.275,0.28625,0.45710937500000004,0.91875,arresting,0IgmozbnrY0,283,339,12.96,11.32,13.56,2.24
YLBPOQCO,325,0.272,0.29233333333333333,0.44796874999999997,0.9149999999999999,arresting,0IgmozbnrY0,283,339,13.0,11.32,13.56,2.24
YLBPOQCO,326,0.269,0.29841666666666666,0.438828125,0.91125,arresting,0IgmozbnrY0,283,339,13.04,11.32,13.56,2.24
YLBPOQCO,327,0.266,0.3045,0.4296875,0.9075,arresting,0IgmozbnrY0,283,339,13.08,11.32,13.56,2.24
YLBPOQCO,328,0.263,0.3105833333333333,0.420546875,0.90375,arresting,0IgmozbnrY0,283,339,13.12,11.32,13.56,2.24
YLBPOQCO,329,0.26,0.31666666666666665,0.41140625000000003,0.9,arresting,0IgmozbnrY0,283,339,13.16,11.32,13.56,2.24
YLBPOQCO,330,0.257,0.32275,0.40226562499999996,0.89625,arresting,0IgmozbnrY0,283,339,13.2,11.32,13.56,2.24
YLBPOQCO,331,0.254,0.3288333333333333,0.393125,0.8925000000000001,arresting,0IgmozbnrY0,283,339,13.24,11.32,13.56,2.24
YLBPOQCO,332,0.251,0.33491666666666664,0.383984375,0.8887499999999999,arresting,0IgmozbnrY0,283,339,13.28,11.32,13.56,2.24
YLBPOQCO,333,0.248,0.341,0.37484375000000003,0.885,arresting,0IgmozbnrY0,283,339,13.32,11.32,13.56,2.24
YLBPOQCO,334,0.24500000000000002,0.34708333333333335,0.365703125,0.88125,arresting,0IgmozbnrY0,283,339,13.36,11.32,13.56,2.24
YLBPOQCO,335,0.242,0.3531666666666667,0.3565625,0.8775,arresting,0IgmozbnrY0,283,339,13.4,11.32,13.56,2.24
YLBPOQCO,336,0.23900000000000002,0.35925,0.347421875,0.87375,arresting,0IgmozbnrY0,283,339,13.44,11.32,13.56,2.24
YLBPOQCO,337,0.236,0.36533333333333334,0.33828125,0.87,arresting,0IgmozbnrY0,283,339,13.48,11.32,13.56,2.24
YLBPOQCO,338,0.233,0.3714166666666667,0.329140625,0.8662500000000001,arresting,0IgmozbnrY0,283,339,13.52,11.32,13.56,2.24
