video_uid,frame,x0,y0,x1,y1,action,bbox_id_new,frame_start,frame_end,time_current,time_start,time_end,duration
YVGRYOAX,745,0.475390625,0.34249999999999997,0.5485156250000001,0.6425000000000001,recording,4u7tFx9yTj0,745,1102,29.8,29.8,44.08,14.279999999999998
YVGRYOAX,746,0.47529062499999997,0.3421666666666667,0.548415625,0.6421666666666667,recording,4u7tFx9yTj0,745,1102,29.84,29.8,44.08,14.279999999999998
YVGRYOAX,747,0.47519062500000003,0.34183888888888886,0.5483156250000001,0.641838888888889,recording,4u7tFx9yTj0,745,1102,29.88,29.8,44.08,14.279999999999998
YVGRYOAX,748,0.475090625,0.34150555555555556,0.548215625,0.6415055555555556,recording,4u7tFx9yTj0,745,1102,29.92,29.8,44.08,14.279999999999998
YVGRYOAX,749,0.4749875,0.3411722222222222,0.5481125,0.6411722222222223,recording,4u7tFx9yTj0,745,1102,29.96,29.8,44.08,14.279999999999998
YVGRYOAX,750,0.4748875,0.34084444444444445,0.5480125,0.6408444444444444,recording,4u7tFx9yTj0,745,1102,30.0,29.8,44.08,14.279999999999998
YVGRYOAX,751,0.4747875,0.3405111111111111,0.5479125,0.6405111111111111,recording,4u7tFx9yTj0,745,1102,30.04,29.8,44.08,14.279999999999998
YVGRYOAX,752,0.47468750000000004,0.3401777777777778,0.5478125,0.6401777777777777,recording,4u7tFx9yTj0,745,1102,30.08,29.8,44.08,14.279999999999998
YVGRYOAX,753,0.4745875,0.33984444444444445,0.5477125,0.6398444444444444,recording,4u7tFx9yTj0,745,1102,30.12,29.8,44.08,14.279999999999998
YVGRYOAX,754,0.47448750000000006,0.3395166666666667,0.5476125,0.6395166666666666,recording,4u7tFx9yTj0,745,1102,30.16,29.8,44.08,14.279999999999998
YVGRYOAX,755,0.4743875,0.33918333333333334,0.5475125000000001,0.6391833333333333,recording,4u7tFx9yTj0,745,1102,30.2,29.8,44.08,14.279999999999998
YVGRYOAX,756,0.474284375,0.33885,0.547409375,0.6388499999999999,recording,4u7tFx9yTj0,745,1102,30.24,29.8,44.08,14.279999999999998
YVGRYOAX,757,0.474184375,0.3385222222222222,0.547309375,0.6385222222222222,recording,4u7tFx9yTj0,745,1102,30.28,29.8,44.08,14.279999999999998
YVGRYOAX,758,0.474084375,0.3381888888888889,0.547209375,0.6381888888888889,recording,4u7tFx9yTj0,745,1102,30.32,29.8,44.08,14.279999999999998
YVGRYOAX,759,0.473984375,0.3378555555555556,0.547109375,0.6378555555555555,recording,4u7tFx9yTj0,745,1102,30.36,29.8,44.08,14.279999999999998
YVGRYOAX,760,0.473884375,0.3375277777777778,0.547009375,0.6375277777777778,recording,4u7tFx9yTj0,745,1102,30.4,29.8,44.08,14.279999999999998
YVGRYOAX,761,0.473784375,0.33719444444444446,0.546909375,0.6371944444444444,recording,4u7tFx9yTj0,745,1102,30.44,29.8,44.08,14.279999999999998
YVGRYOAX,762,0.47368437500000005,0.3368611111111111,0.546809375,0.6368611111111111,recording,4u7tFx9yTj0,745,1102,30.48,29.8,44.08,14.279999999999998
YVGRYOAX,763,0.47358124999999995,0.33653333333333335,0.54670625,0.6365333333333333,recording,4u7tFx9yTj0,745,1102,30.52,29.8,44.08,14.279999999999998
YVGRYOAX,764,0.47348125,0.3362,0.54660625,0.6362,recording,4u7tFx9yTj0,745,1102,30.56,29.8,44.08,14.279999999999998
YVGRYOAX,765,0.47338125,0.3358666666666667,0.54650625,0.6358666666666667,recording,4u7tFx9yTj0,745,1102,30.6,29.8,44.08,14.279999999999998
YVGRYOAX,766,0.47328125,0.33553333333333335,0.54640625,0.6355333333333333,recording,4u7tFx9yTj0,745,1102,30.64,29.8,44.08,14.279999999999998
YVGRYOAX,767,0.47318125,0.3352055555555556,0.54630625,0.6352055555555556,recording,4u7tFx9yTj0,745,1102,30.68,29.8,44.08,14.279999999999998
YVGRYOAX,768,0.47308125,0.33487222222222224,0.54620625,0.6348722222222223,recording,4u7tFx9yTj0,745,1102,30.72,29.8,44.08,14.279999999999998
YVGRYOAX,769,0.47298125,0.3345388888888889,0.54610625,0.6345388888888889,recording,4u7tFx9yTj0,745,1102,30.76,29.8,44.08,14.279999999999998
