video_uid,frame,x0,y0,x1,y1,action,bbox_id_new,frame_start,frame_end,time_current,time_start,time_end,duration
ZXPSCPEF,365,0.24125000000000002,0.0825,0.6575,0.9725,holding signage,NBbGmielSh0,365,475,14.6,14.6,19.0,4.4
ZXPSCPEF,366,0.24125000000000002,0.0825,0.6575,0.97375,holding signage,NBbGmielSh0,365,475,14.64,14.6,19.0,4.4
ZXPSCPEF,367,0.24125000000000002,0.0825,0.6575,0.975,holding signage,NBbGmielSh0,365,475,14.68,14.6,19.0,4.4
ZXPSCPEF,368,0.24125000000000002,0.0825,0.6575,0.97625,holding signage,NBbGmielSh0,365,475,14.72,14.6,19.0,4.4
ZXPSCPEF,369,0.24125000000000002,0.0825,0.6575,0.9774999999999999,holding signage,NBbGmielSh0,365,475,14.76,14.6,19.0,4.4
ZXPSCPEF,370,0.24125000000000002,0.0825,0.6575,0.97875,holding signage,NBbGmielSh0,365,475,14.8,14.6,19.0,4.4
ZXPSCPEF,371,0.24125000000000002,0.0825,0.6575,0.98,holding signage,NBbGmielSh0,365,475,14.84,14.6,19.0,4.4
ZXPSCPEF,372,0.24125000000000002,0.0825,0.6575,0.98125,holding signage,NBbGmielSh0,365,475,14.88,14.6,19.0,4.4
ZXPSCPEF,373,0.24125000000000002,0.0825,0.6575,0.9824999999999999,holding signage,NBbGmielSh0,365,475,14.92,14.6,19.0,4.4
ZXPSCPEF,374,0.24125000000000002,0.0825,0.6575,0.9837499999999999,holding signage,NBbGmielSh0,365,475,14.96,14.6,19.0,4.4
ZXPSCPEF,375,0.24125000000000002,0.0825,0.6575,0.9850000000000001,holding signage,NBbGmielSh0,365,475,15.0,14.6,19.0,4.4
ZXPSCPEF,376,0.24125000000000002,0.0825,0.6575,0.9862500000000001,holding signage,NBbGmielSh0,365,475,15.04,14.6,19.0,4.4
ZXPSCPEF,377,0.24125000000000002,0.0825,0.6575,0.9875,holding signage,NBbGmielSh0,365,475,15.08,14.6,19.0,4.4
ZXPSCPEF,378,0.24125000000000002,0.0825,0.6575,0.98875,holding signage,NBbGmielSh0,365,475,15.12,14.6,19.0,4.4
ZXPSCPEF,379,0.24125000000000002,0.0825,0.6575,0.99,holding signage,NBbGmielSh0,365,475,15.16,14.6,19.0,4.4
ZXPSCPEF,380,0.24125000000000002,0.0825,0.6575,0.9912500000000001,holding signage,NBbGmielSh0,365,475,15.2,14.6,19.0,4.4
ZXPSCPEF,381,0.24125000000000002,0.0825,0.6575,0.9925,holding signage,NBbGmielSh0,365,475,15.24,14.6,19.0,4.4
ZXPSCPEF,382,0.24125000000000002,0.0825,0.6575,0.99375,holding signage,NBbGmielSh0,365,475,15.28,14.6,19.0,4.4
